Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
586.638,0.718881,395836,11,0,18281.3,1518.75,1640.62,1218.75,3711810,0,0,11,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940
476.477,0.843756,565725,8,0,12796.9,1063.12,1148.44,853.125,3713160,0,0,8,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050
582.891,0.665484,430499,11,0,18281.3,1518.75,1640.62,1218.75,4036780,0,0,11,0.631353,0.708518,0.761349,0.665484,36562.5,3037.5,3281.25,2437.5,8073550,811.887,8118870
574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100
479.342,0.757009,525864,12,0,20109.4,1670.63,1804.69,1340.62,5423900,0,0,12,0.66929,0.897063,0.935389,0.757009,40218.8,3341.25,3609.37,2681.25,10847800,990.696,10897700
428.134,0.830488,598481,15,0,25593.8,2126.25,2296.88,1706.25,7856240,0,0,15,0.776426,1.02503,1.04553,0.830488,51187.5,4252.5,4593.75,3412.5,15712500,1126.85,15775900
452.075,0.777906,651425,13,0,21937.5,1822.5,1968.75,1462.5,7329540,0,0,13,0.694293,0.844065,0.962721,0.777906,43875,3645,3937.5,2925,14659100,1226.12,14713500
283.048,0.723212,477269,18,0,31078.1,2581.88,2789.06,2071.88,7607910,0,0,18,0.69017,0.784473,0.861041,0.723212,62156.2,5163.75,5578.13,4143.75,15215800,899.581,15292900
531.022,0.708761,421923,12,0,20109.4,1670.63,1804.69,1340.62,4352010,0,0,12,0.613007,0.833959,0.881533,0.708761,40218.8,3341.25,3609.38,2681.25,8704010,795.806,8753860
930.738,0.901142,603763,7,0,10968.8,911.25,984.375,731.25,3396680,0,0,7,0.764402,1.19979,1.29963,0.901142,21937.5,1822.5,1968.75,1462.5,6793350,1136.76,6820540
348.279,0.769629,610693,18,0,31078.1,2581.88,2789.06,2071.88,9734350,0,0,18,0.665086,0.877091,0.925295,0.769629,62156.2,5163.75,5578.13,4143.75,19468700,1149.75,19545700
499.325,0.730843,430958,10,0,16453.1,1366.88,1476.56,1096.88,3636970,0,0,10,0.637869,0.84837,0.943721,0.730843,32906.2,2733.75,2953.12,2193.75,7273940,812.747,7314720
518.245,0.753477,519715,12,0,20109.4,1670.62,1804.69,1340.62,5360480,0,0,12,0.642219,0.884608,0.932311,0.753477,40218.8,3341.25,3609.38,2681.25,10721000,979.165,10770800
741.971,0.693527,507091,9,0,14625,1215,1312.5,975,3803860,0,0,9,0.659584,0.728282,0.774308,0.693527,29250,2430,2625,1950,7607720,955.497,7643980
623.997,0.785594,567459,7,0,10968.8,911.25,984.375,731.25,3192460,0,0,7,0.686319,0.95523,1.04635,0.785594,21937.5,1822.5,1968.75,1462.5,6384930,1068.69,6412120
609.557,0.792497,441681,7,0,10968.8,911.25,984.375,731.25,2484960,0,0,7,0.660366,1.03343,1.104,0.792497,21937.5,1822.5,1968.75,1462.5,4969920,832.852,4997110
835.001,0.888964,690843,8,0,12796.9,1063.12,1148.44,853.125,4534240,0,0,8,0.793949,1.12165,1.18168,0.888964,25593.8,2126.25,2296.88,1706.25,9068490,1300.03,9100210
590.921,0.803334,449659,9,0,14625,1215,1312.5,975,3373120,0,0,9,0.730172,1.02362,1.07408,0.803334,29250,2430,2625,1950,6746240,847.811,6782490
580.936,0.937192,789442,10,0,16453.1,1366.87,1476.56,1096.88,6661670,0,0,10,0.846427,1.20275,1.31332,0.937192,32906.2,2733.75,2953.12,2193.75,13323300,1484.9,13364100
664.748,0.715855,513011,10,0,16453.1,1366.88,1476.56,1096.88,4329290,0,0,10,0.628019,0.811891,0.859728,0.715855,32906.2,2733.75,2953.12,2193.75,8658580,966.596,8699360
568.095,0.632998,413433,8.0625,0,13260,1215,1312.5,975,3176260,0,0,8,0.592206,0.68474,0.740479,0.633862,26178.8,2430,2493.75,1950,5978590,851.205,6011640
469.167,0.791796,598137,13,0,21937.5,1822.5,1968.75,1462.5,6730050,0,0,13,0.664209,0.971515,0.990242,0.791796,43875,3645,3937.5,2925,13460100,1126.21,13514500
461.312,0.774796,389327,14,0,23765.6,1974.38,2132.81,1584.38,4746020,0,0,14,0.68801,1.0007,1.03476,0.774796,47531.2,3948.75,4265.62,3168.75,9492040,734.689,9550960
471.93,0.872941,584773,12,0,20109.4,1670.62,1804.69,1340.62,6031400,0,0,12,0.816755,1.12341,1.17176,0.872941,40218.8,3341.25,3609.38,2681.25,12062800,1101.15,12112600
582.663,0.771794,580322,11,0,18281.3,1518.75,1640.62,1218.75,5441370,0,0,11,0.669102,0.874683,0.951539,0.771794,36562.5,3037.5,3281.25,2437.5,10882700,1092.81,10928100
432.215,0.792786,445143,14,0,23765.6,1974.38,2132.81,1584.38,5426270,0,0,14,0.759372,0.971695,1.06264,0.792786,47531.2,3948.75,4265.62,3168.75,10852500,839.343,10911500
370.097,0.802776,610082,16,0,27421.9,2278.12,2460.94,1828.12,8580550,0,0,16,0.652792,0.991517,1.00107,0.802776,54843.8,4556.25,4921.88,3656.25,17161100,1148.6,17229100
457.951,0.823743,569380,14,0,23765.6,1974.38,2132.81,1584.38,6940420,0,0,14,0.738814,0.998428,1.04671,0.823743,47531.2,3948.75,4265.62,3168.75,13880800,1072.29,13939700
484.788,0.678196,360376,13,0,21937.5,1822.5,1968.75,1462.5,4055250,0,0,13,0.64539,0.741664,0.750662,0.678196,43875,3645,3937.5,2925,8110490,680.406,8164880
