Is Attacker,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Mean Block Receive Time.1,Mean Block Propagation Time.1,Mean Block Size.1,Total Blocks.1,Stale Blocks.1,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork.1,Blocks in Forks.1,Mined Blocks in Main Chain.1,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
0,543.013,1.08901,457373,12,0,0,0.0,0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5032098,0,0,0,15,0,542.994,0.791119,457373,12.0,0,20109.4,1670.62,1804.69,1340.62,4717590,0.0,0.0,12,0.765354,0.982364,1.01682,0.791119,40218.8,3341.25,3609.38,2681.25,9435180,862.276,9485030
1,648.621,0.504203,518022,923,237,269,2225.73,462188,0.3,12,1273350,1250740,29160,105786,114275,118980,62280,84890,353801146,579022275,8,473,15,84,798.314,326.587,531248,749.0,64,1340980.0,100997.0,114569.0,83476.9,367877000,6.125,128.938,685,353.606,353.952,353.957,331.696,2681970.0,201994.0,229138.0,166954.0,735755000,988.015,739035000
1,668.821,0.459244,507802,898,233,260,2305.22,427974,0.3,8,1242150,1201400,19440,103194,111475,80535,42060,82810,343932029,357444600,8,466,15,57,848.934,221.753,528085,707.0,42,1264400.0,97959.4,109541.0,80263.1,344777000,7.0625,85.375,665,240.687,240.975,241.022,225.792,2528800.0,195919.0,219083.0,160526.0,689553000,981.101,692657000
1,602.011,0.477186,486139,996,285,296,2024.21,432004,0.3,7,1363050,1309050,17010,113238,122325,70620,36870,90870,355775212,372064500,8,569,15,50,781.97,195.631,506251,765.0,55,1365480.0,107224.0,119093.0,87495.0,356793000,7.0625,110.562,710,212.778,212.996,213.074,199.632,2730950.0,214448.0,238187.0,174990.0,713587000,938.41,716945000
0,423.234,1.02081,392321,14,0,0,0.0,0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5101341,0,0,0,15,0,423.183,0.7603,392321,14.0,0,23765.6,1974.38,2132.81,1584.38,4782510,0.0,0.0,14,0.663345,0.95889,0.981899,0.7603,47531.2,3948.75,4265.62,3168.75,9565010,740.302,9623930
1,632.104,0.477023,518383,949,258,284,2110.24,465353,0.3,10,1294800,1264160,24300,107568,116200,107655,55680,86320,359088955,538183635,10,516,15,77,792.779,472.365,531795,754.0,63,1348740.0,102364.0,115666.0,84405.0,370282000,10.0,127.875,691,512.413,512.803,512.838,480.592,2697470.0,204727.0,231332.0,168810.0,740565000,987.871,743867000
0,615.694,1.24681,732029,10,0,0,0.0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6589070,0,0,0,15,0,615.62,0.885673,732029,10.0,0,16453.1,1366.87,1476.56,1096.88,6177250,0.0,0.0,10,0.814196,1.08375,1.18895,0.885673,32906.2,2733.75,2953.12,2193.75,12354500,1377.25,12395300
0,554.431,0.68474,412685,8,0,0,0.0,0,0.002,0,13780,12740,0,1296,1225,0,0,1040,2889425,0,0,0,15,0,568.095,0.632998,413433,8.0625,0,13260.0,1215.0,1312.5,975.0,3176260,0.0,0.0,8,0.592206,0.68474,0.740479,0.633862,26178.8,2430.0,2493.75,1950.0,5978590,851.205,6011640
0,483.546,0.856668,407391,13,0,0,0.0,0,0.002,0,23400,21840,0,1944,2100,0,0,1560,4889770,0,0,0,15,0,483.516,0.742144,407391,13.0,0,21937.5,1822.5,1968.75,1462.5,4584160,0.0,0.0,13,0.625517,0.860879,0.883507,0.742144,43875.0,3645.0,3937.5,2925.0,9168320,768.558,9222700
0,725.058,1.12447,643812,9,0,0,0.0,0,0.002,0,15600,14560,0,1296,1400,0,0,1040,5151217,0,0,0,15,0,725.091,0.851845,643812,9.0,0,14625.0,1215.0,1312.5,975.0,4829270,0.0,0.0,9,0.82566,0.978922,1.03866,0.851845,29250.0,2430.0,2625.0,1950.0,9658530,1211.85,9694790
