Iteration,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Stale Blocks,Size of Longest Fork,Mined Blocks in Main Blockchain,Honest Mining Income,Attacker Income,Attacker's Hash Rate,Time per Block,Fork Height,Fork Length,Block Interval,Time Interval
7,789.364,517.381,510471,760,73,1,9,58581.2,467402,0.012,0,1454040,1382550,21870,106920,122790,23625,17550,89040,383299945,63111420,0,0,0,0,0,0,0,0,0,0,8,146,15,0,0,0,1.6976e-313,1.3951e-308,55254.9,0,55255.4
8,789.364,517.152,510471,760,73,1,6,89089,710543,0.012,0,1459890,1382160,14580,107406,123315,15750,11700,89430,383243576,63956955,0,0,0,0,0,0,0,0,0,0,8,146,15,0,0,0,109140,109141,7.42782e-313,0,3.16202e-322
9,789.364,517.591,510471,760,73,1,10,50741.6,477142,0.012,0,1452090,1382680,24300,106758,122615,26250,19500,88910,382735057,71584740,0,0,0,0,0,0,0,0,0,0,8,146,15,0,0,0,8.49628e-314,4.67836e-310,1.63042e-322,0,4.67836e-310
10,789.364,516.973,510471,760,73,1,10,55875.6,542952,0.009,0,1452090,1382680,24300,106758,122615,26250,19500,88910,382076958,81456225,0,0,0,0,0,0,0,0,0,0,8,146,15,0,0,0,2.97089e-313,4.67836e-310,-6.02614e+241,0,7.11455e-322
11,789.364,517.415,510471,760,73,1,10,51200.2,566714,0.005,0,1452090,1382680,24300,106758,122615,26250,19500,88910,381839336,85020555,0,0,0,0,0,0,0,0,0,0,8,146,15,0,0,0,156554,156556,4.67815e-310,0,1.46243e-320
12,789.364,517.295,510471,760,73,1,6,98704.2,824437,0.005,0,1459890,1382160,14580,107406,123315,15750,11700,89430,382560213,74207400,0,0,0,0,0,0,0,0,0,0,8,146,15,0,0,0,8.30397e-317,0,2.06025e-321,0,4.67836e-310
13,789.364,517.463,510471,760,73,1,1,406494,370543,0.002,0,1469640,1381510,2430,108216,124190,2625,1950,90080,387136740,5559495,0,0,0,0,0,0,0,0,0,0,8,146,15,0,0,0,6.36599e-314,1.49543e-309,241498,0,241499
14,789.364,517.436,510471,760,73,1,1,502109,745694,0.002,0,1469640,1381510,2430,108216,124190,2625,1950,90080,386761589,11186760,0,0,0,0,0,0,0,0,0,0,8,146,15,0,0,0,487863,487863,2.61346e-306,0,6.32404e-322
15,623.51,0.463752,500505,962,275,1,306,1957.81,468569,0.3,14,1277250,1268000,34020,106110,114625,146100,75900,85150,337593490,748708245,0,0,0,0,0,0,0,0,0,0,8,549,15,0,0,104,4.67815e-310,0,1.8231e-321,1,4.67836e-310
0,841.424,366.997,503369,714,40,1,176,3387.17,492732,0.185,0,1042544,1320540,427680,79056,89369,462000,343200,65204,272225034,1301048940,0,0,0,0,0,0,0,0,0,0,7,80,15,0,0,0,1.27403e-313,3.16202e-322,5.58294e-322,0,4.67836e-310
