Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
803.029,493.996,510705,23147,2780,1.35275e+06,1.35216e+06,100278,96346.8,112502,108325,80470,81059.3,3.56566e+08,3.26956e+08,8,168,20367,0,0,0,0
797.327,475.189,510225,24064,3040,1.34365e+06,1.34365e+06,96592.5,96592.5,112241,112241,81022.5,81022.5,3.54716e+08,3.54716e+08,8.125,189.938,21024,0,0,0,0
797.682,476.345,510255,24805,3124,1.09977e+06,1.36903e+06,415530,75330,89799,448875,333450,64194,2.8736e+08,1.36506e+09,8,168,21681,0,0,0,0
798.016,477.435,510283,25546,3208,1.12902e+06,1.36708e+06,379080,77760,92424,409500,304200,66144,2.96299e+08,1.23096e+09,8,168,22338,0,0,0,0
798.331,478.477,510309,26287,3292,1.15242e+06,1.36552e+06,349920,79704,94524,378000,280800,67704,3.03954e+08,1.11614e+09,8,168,22995,0,0,0,0
798.629,479.451,510334,27028,3376,1.18996e+06,1.36302e+06,303142,82822.5,97892.8,327469,243262,70206.5,3.13278e+08,9.76288e+08,8,168,23652,0,0,0,0
798.911,480.387,510358,27769,3460,1.22184e+06,1.36089e+06,263412,85471.2,100754,284550,211380,72332,3.21908e+08,8.46833e+08,8,168,24309,0,0,0,0
799.179,481.264,510381,28510,3544,1.25187e+06,1.35889e+06,225990,87966,103449,244125,181350,74334,3.29991e+08,7.25585e+08,8,168,24966,0,0,0,0
799.433,482.098,510402,29251,3628,1.27416e+06,1.3574e+06,198219,89817.4,105449,214125,159064,75819.7,3.35659e+08,6.40575e+08,8,168,25623,0,0,0,0
799.674,482.902,510422,29992,3712,1.29258e+06,1.35618e+06,175264,91347.8,107102,189328,140644,77047.8,3.40656e+08,5.65606e+08,8,168,26280,0,0,0,0
799.904,483.663,510442,30733,3796,1.30517e+06,1.35534e+06,159570,92394,108232,172375,128050,77887.3,3.44104e+08,5.139e+08,8,168,26937,0,0,0,0
800.123,484.389,510460,31474,3880,1.31603e+06,1.35461e+06,146043,93295.8,109206,157762,117195,78611,3.46803e+08,4.73408e+08,8,168,27594,0,0,0,0
800.331,485.076,510478,32215,3964,1.32562e+06,1.35397e+06,134092,94092.5,110067,144852,107605,79250.4,3.4931e+08,4.35804e+08,8,168,28251,0,0,0,0
800.531,485.741,510495,32956,4048,1.33361e+06,1.35344e+06,124133,94756.5,110784,134094,99612.5,79783.2,3.51422e+08,4.04121e+08,8,168,28908,0,0,0,0
800.722,486.372,510511,33697,4132,1.34082e+06,1.35296e+06,115145,95355.7,111432,124385,92400,80264,3.5339e+08,3.74598e+08,8,168,29565,0,0,0,0
800.904,486.981,510526,34438,4216,1.34728e+06,1.35253e+06,107094,95892.4,112012,115688,85939.3,80694.7,3.55108e+08,3.4883e+08,8,168,30222,0,0,0,0
801.079,487.563,510541,35179,4300,1.35275e+06,1.35216e+06,100278,96346.8,112502,108325,80470,81059.3,3.56566e+08,3.26956e+08,8,168,30879,0,0,0,0
797.327,475.189,510225,36096,4560,1.34365e+06,1.34365e+06,96592.5,96592.5,112241,112241,81022.5,81022.5,3.54716e+08,3.54716e+08,8.125,189.938,31536,0,0,0,0
797.566,475.967,510245,36837,4644,1.09977e+06,1.36903e+06,415530,75330,89799,448875,333450,64194,2.8736e+08,1.36506e+09,8,168,32193,0,0,0,0
797.795,476.716,510264,37578,4728,1.12902e+06,1.36708e+06,379080,77760,92424,409500,304200,66144,2.96299e+08,1.23096e+09,8,168,32850,0,0,0,0
798.016,477.444,510283,38319,4812,1.15242e+06,1.36552e+06,349920,79704,94524,378000,280800,67704,3.03954e+08,1.11614e+09,8,168,33507,0,0,0,0
798.228,478.138,510301,39060,4896,1.18996e+06,1.36302e+06,303142,82822.5,97892.8,327469,243262,70206.5,3.13278e+08,9.76288e+08,8,168,34164,0,0,0,0
798.432,478.816,510318,39801,4980,1.22184e+06,1.36089e+06,263412,85471.2,100754,284550,211380,72332,3.21908e+08,8.46833e+08,8,168,34821,0,0,0,0
798.629,479.461,510334,40542,5064,1.25187e+06,1.35889e+06,225990,87966,103449,244125,181350,74334,3.29991e+08,7.25585e+08,8,168,35478,0,0,0,0
798.819,480.084,510350,41283,5148,1.27416e+06,1.3574e+06,198219,89817.4,105449,214125,159064,75819.7,3.35659e+08,6.40575e+08,8,168,36135,0,0,0,0
799.002,480.693,510366,42024,5232,1.29258e+06,1.35618e+06,175264,91347.8,107102,189328,140644,77047.8,3.40656e+08,5.65606e+08,8,168,36792,0,0,0,0
799.179,481.279,510381,42765,5316,1.30517e+06,1.35534e+06,159570,92394,108232,172375,128050,77887.3,3.44104e+08,5.139e+08,8,168,37449,0,0,0,0
799.349,481.844,510395,43506,5400,1.31603e+06,1.35461e+06,146043,93295.8,109206,157762,117195,78611,3.46803e+08,4.73408e+08,8,168,38106,0,0,0,0
799.514,482.387,510409,44247,5484,1.32562e+06,1.35397e+06,134092,94092.5,110067,144852,107605,79250.4,3.4931e+08,4.35804e+08,8,168,38763,0,0,0,0
799.674,482.918,510422,44988,5568,1.33361e+06,1.35344e+06,124133,94756.5,110784,134094,99612.5,79783.2,3.51422e+08,4.04121e+08,8,168,39420,0,0,0,0
799.828,483.429,510435,45729,5652,1.34082e+06,1.35296e+06,115145,95355.7,111432,124385,92400,80264,3.5339e+08,3.74598e+08,8,168,40077,0,0,0,0
799.978,483.928,510448,46470,5736,1.34728e+06,1.35253e+06,107094,95892.4,112012,115688,85939.3,80694.7,3.55108e+08,3.4883e+08,8,168,40734,0,0,0,0
800.123,484.409,510460,47211,5820,1.35275e+06,1.35216e+06,100278,96346.8,112502,108325,80470,81059.3,3.56566e+08,3.26956e+08,8,168,41391,0,0,0,0
797.327,475.189,510225,48128,6080,1.34365e+06,1.34365e+06,96592.5,96592.5,112241,112241,81022.5,81022.5,3.54716e+08,3.54716e+08,8.125,189.938,42048,0,0,0,0
797.507,475.775,510240,48869,6164,1.09977e+06,1.36903e+06,415530,75330,89799,448875,333450,64194,2.8736e+08,1.36506e+09,8,168,42705,0,0,0,0
797.682,476.345,510255,49610,6248,1.12902e+06,1.36708e+06,379080,77760,92424,409500,304200,66144,2.96299e+08,1.23096e+09,8,168,43362,0,0,0,0
797.851,476.905,510269,50351,6332,1.15242e+06,1.36552e+06,349920,79704,94524,378000,280800,67704,3.03954e+08,1.11614e+09,8,168,44019,0,0,0,0
798.016,477.443,510283,51092,6416,1.18996e+06,1.36302e+06,303142,82822.5,97892.8,327469,243262,70206.5,3.13278e+08,9.76288e+08,8,168,44676,0,0,0,0
798.176,477.974,510296,51833,6500,1.22184e+06,1.36089e+06,263412,85471.2,100754,284550,211380,72332,3.21908e+08,8.46833e+08,8,168,45333,0,0,0,0
798.331,478.483,510309,52574,6584,1.25187e+06,1.35889e+06,225990,87966,103449,244125,181350,74334,3.29991e+08,7.25585e+08,8,168,45990,0,0,0,0
798.482,478.979,510322,53315,6668,1.27416e+06,1.3574e+06,198219,89817.4,105449,214125,159064,75819.7,3.35659e+08,6.40575e+08,8,168,46647,0,0,0,0
798.629,479.468,510334,54056,6752,1.29258e+06,1.35618e+06,175264,91347.8,107102,189328,140644,77047.8,3.40656e+08,5.65606e+08,8,168,47304,0,0,0,0
798.772,479.942,510346,54797,6836,1.30517e+06,1.35534e+06,159570,92394,108232,172375,128050,77887.3,3.44104e+08,5.139e+08,8,168,47961,0,0,0,0
798.911,480.402,510358,55538,6920,1.31603e+06,1.35461e+06,146043,93295.8,109206,157762,117195,78611,3.46803e+08,4.73408e+08,8,168,48618,0,0,0,0
799.047,480.848,510370,56279,7004,1.32562e+06,1.35397e+06,134092,94092.5,110067,144852,107605,79250.4,3.4931e+08,4.35804e+08,8,168,49275,0,0,0,0
799.179,481.287,510381,57020,7088,1.33361e+06,1.35344e+06,124133,94756.5,110784,134094,99612.5,79783.2,3.51422e+08,4.04121e+08,8,168,49932,0,0,0,0
799.307,481.713,510392,57761,7172,1.34082e+06,1.35296e+06,115145,95355.7,111432,124385,92400,80264,3.5339e+08,3.74598e+08,8,168,50589,0,0,0,0
799.433,482.13,510402,58502,7256,1.34728e+06,1.35253e+06,107094,95892.4,112012,115688,85939.3,80694.7,3.55108e+08,3.4883e+08,8,168,51246,0,0,0,0
799.555,482.537,510412,59243,7340,1.35275e+06,1.35216e+06,100278,96346.8,112502,108325,80470,81059.3,3.56566e+08,3.26956e+08,8,168,51903,0,0,0,0
797.327,475.189,510225,60160,7600,1.34365e+06,1.34365e+06,96592.5,96592.5,112241,112241,81022.5,81022.5,3.54716e+08,3.54716e+08,8.125,189.938,52560,0,0,0,0
