Iteration,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Stale Blocks,Size of Longest Fork,Mined Blocks in Main Blockchain,Honest Mining Income,Attacker Income,Attacker's Hash Rate,Time per Block
1,611.336,0.490663,519273,0,8,75,284,75,0.3,600
2,611.336,0.490663,519273,0,8,75,284,75,0.3,600
3,611.336,0.490663,519273,0,8,75,284,75,0.3,600
4,611.336,0.490663,519273,0,8,75,284,75,0.3,600
5,611.336,0.490663,519273,0,8,75,284,75,0.3,600
6,611.336,0.490663,519273,0,8,75,284,75,0.3,600
7,611.336,0.490663,519273,0,8,75,284,75,0.3,600
8,611.336,0.490663,519273,0,8,75,284,75,0.3,600
9,611.336,0.490663,519273,0,8,75,284,75,0.3,600
10,611.336,0.490663,519273,0,8,75,284,75,0.3,600
