Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
0,414.446,0.365587,461424,15,0,1,5,1078.59,494377,0.289,0,17550,26130,12150,1458,1575,13125,9750,1170,3988857,37084995,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1.37148e-319,0,1.08349e-320,4.67186e-310
1,414.458,0.52042,461424,15,0,1,1,5787.08,218808,0.196,0,25350,25610,2430,2106,2275,2625,1950,1690,6242292,3283470,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67186e-310,4.67186e-310,4.67186e-310,4.67186e-310
2,414.452,0.388177,461424,15,0,1,5,1092.93,437748,0.159,0,17550,26130,12150,1458,1575,13125,9750,1170,4271999,32837865,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67186e-310,4.67186e-310,4.67186e-310,4.67186e-310
3,414.422,0.861273,461424,15,0,1,1,1814.21,350111,0.133,0,25350,25610,2430,2106,2275,2625,1950,1690,6110989,5253015,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67186e-310,4.67186e-310,4.67186e-310,4.67186e-310
4,414.464,0.512654,461424,15,0,1,0,0,0,0.066,0,27300,25480,0,2268,2450,0,0,1820,6461190,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67186e-310,4.67186e-310,4.67186e-310,4.67186e-310
5,414.434,1.00174,461424,15,0,1,0,0,0,0.054,0,27300,25480,0,2268,2450,0,0,1820,6461190,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67186e-310,4.67186e-310,4.67186e-310,4.67186e-310
6,414.36,0.698709,461424,15,0,1,1,5801.04,933003,0.029,0,25350,25610,2430,2106,2275,2625,1950,1690,5528097,13996395,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67186e-310,4.67186e-310,4.67186e-310,4.67186e-310
7,414.367,0.660748,461424,15,0,1,0,0,0,0.016,0,27300,25480,0,2268,2450,0,0,1820,6461190,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67186e-310,4.67186e-310,1.12252e-320,2.37152e-322
8,414.411,0.99532,461424,15,0,1,0,0,0,0.012,0,27300,25480,0,2268,2450,0,0,1820,6461190,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5.80398e+180,3.94646e+180,2.59441e+161,2.35174e+251
9,414.39,0.921843,461424,15,0,1,0,0,0,0.012,0,27300,25480,0,2268,2450,0,0,1820,6461190,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8.78414e+247,2.64686e+180,4.73224e+164,9.08356e-307
10,414.427,0.954967,461424,15,0,1,1,221.583,297384,0.012,0,25350,25610,2430,2106,2275,2625,1950,1690,6163716,4462110,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1.50617e+161,1.46923e+195,4.41622e+257,1.1725e+166
11,414.373,0.711739,461424,15,0,1,0,0,0,0.009,0,27300,25480,0,2268,2450,0,0,1820,6461190,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.788e+209,2.17898e+68,1.14489e+243,9.5355e-307
12,414.4,0.968363,461424,15,0,1,0,0,0,0.005,0,27300,25480,0,2268,2450,0,0,1820,6461190,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.1711e+180,3.99728e+252,4.09073e+87,4.71592e+257
13,414.406,0.933016,461424,15,0,1,0,0,0,0.005,0,27300,25480,0,2268,2450,0,0,1820,6461190,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3.87842e-321,4.67186e-310,4.67186e-310
14,414.395,0.900268,461424,15,0,1,0,0,0,0.002,0,27300,25480,0,2268,2450,0,0,1820,6461190,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67186e-310,4.67186e-310,4.67186e-310,2.96439e-323
15,414.417,1.09382,461424,15,0,1,0,0,0,0.002,0,27300,25480,0,2268,2450,0,0,1820,6461190,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.67186e-310,4.67186e-310,2.37152e-321,2.37152e-322
