Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
804.85,363.476,534533,745,69,1.33228e+06,100997,114189,83308.1,3.67537e+08,7.0625,139.75,676,0,0,0,0,394.335,394.636,394.674,369.851,2.66457e+06,201994,228379,166616,7.35073e+08,992.386,7.38335e+08
897.295,195.481,556737,668,31,1.19295e+06,94770,104653,77062.5,3.42653e+08,5.3125,63.375,637,0,0,0,0,212.694,212.993,213.039,199.556,2.3859e+06,189540,209306,154125,6.85306e+08,1031.85,6.88245e+08
819.916,358.56,527222,732,72,1.30598e+06,97655.6,111188,80896.9,3.55454e+08,8.0625,144.75,660,0,0,0,0,389.327,389.746,389.839,365.222,2.61197e+06,195311,222375,161794,7.10908e+08,976.88,7.14099e+08
753.022,429.763,505696,796,89,1.42558e+06,105857,120958,87883.1,3.72262e+08,7.0625,178.375,707,0,0,0,0,464.739,465.106,465.156,435.881,2.85117e+06,211714,241916,175766,7.44524e+08,940.886,7.48004e+08
799.904,254.769,548761,750,47,1.33882e+06,103275,115739,84731.2,3.79769e+08,7.0625,94.875,703,0,0,0,0,276.902,277.228,277.291,259.779,2.67765e+06,206550,231478,169462,7.59539e+08,1018.46,7.62824e+08
750.477,361.396,516783,798,73,1.43038e+06,108135,122432,89272.5,3.81657e+08,8,147.25,725,0,0,0,0,391.049,391.356,391.409,366.784,2.86077e+06,216270,244864,178545,7.63313e+08,962.125,7.66814e+08
810.194,247.507,539834,740,50,1.32334e+06,103579,115232,84603.8,3.68976e+08,7,100.312,690,0,0,0,0,268.611,268.908,268.94,251.988,2.64668e+06,207158,230464,169208,7.37953e+08,1002.99,7.41206e+08
825.923,231.105,527351,727,49,1.29792e+06,101756,113111,83073.7,3.52871e+08,6.1875,98.875,678,0,0,0,0,251.322,251.568,251.646,235.774,2.59585e+06,203512,226222,166147,7.05742e+08,976.493,7.08934e+08
787.795,192.728,513125,762,50,1.36321e+06,106313,118489,86932.5,3.60754e+08,6.25,101.25,712,0,0,0,0,209.147,209.371,209.478,196.224,2.72642e+06,212625,236978,173865,7.21508e+08,952.507,7.24858e+08
843.965,186.73,523414,711,39,1.26964e+06,100997,111456,82093.1,3.41976e+08,7.125,79.5,672,0,0,0,0,203.235,203.479,203.549,190.672,2.53929e+06,201994,222911,164186,6.83952e+08,967.719,6.87081e+08
851.386,505.672,512372,703,65,1.2568e+06,93858.8,106934,77782.5,3.32564e+08,7.0625,131.312,638,0,0,0,0,548.357,548.718,548.829,514.297,2.5136e+06,187718,213868,155565,6.65129e+08,951.851,6.68199e+08
791.854,444.735,509402,756,92,1.34871e+06,99326.2,113979,82676.3,3.54987e+08,9,184.688,664,0,0,0,0,482.692,483.084,483.133,452.733,2.69743e+06,198652,227959,165352,7.09974e+08,944.719,7.13263e+08
761.219,308.464,511615,788,61,1.40959e+06,108287,121609,88955.6,3.72156e+08,7.1875,123.5,727,0,0,0,0,334.683,334.96,335.001,313.929,2.81919e+06,216574,243218,177911,7.44313e+08,950.152,7.4777e+08
843.402,287.278,528060,711,49,1.27162e+06,98415,110109,80662.5,3.46139e+08,8,99.875,662,0,0,0,0,311.515,311.753,311.841,292.2,2.54325e+06,196830,220219,161325,6.92278e+08,979.436,6.954e+08
842.162,168.394,529605,713,39,1.27339e+06,101452,111872,82425,3.47915e+08,6.1875,78.375,674,0,0,0,0,183.1,183.374,183.385,171.802,2.54677e+06,202905,223744,164850,6.95829e+08,981.696,6.98967e+08
