Iteration,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Stale Blocks,Size of Longest Fork,Mined Blocks in Main Blockchain,Honest Mining Income,Attacker Income,Attacker's Hash Rate,Time per Block
1,661.128,0.516837,500647,0,9,98,272,98,0.3,600
2,635.165,0.471222,509362,0,8,42,275,42,0.3,600
3,604.73,0.504763,505051,0,8,109,314,109,0.3,600
4,614.02,0.468086,508629,0,11,93,299,93,0.3,600
5,637.362,0.496989,515607,0,8,44,269,44,0.3,600
6,623.073,0.452256,515295,0,9,66,301,66,0.3,600
7,613.885,0.484247,496344,0,10,100,308,100,0.3,600
8,673.821,0.489885,517226,0,8,69,273,69,0.3,600
9,629.723,0.463917,489096,0,8,122,309,122,0.3,600
10,615.639,0.486698,514582,0,11,96,285,96,0.3,600
