Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,800.816,490.793,526687,750,62,1,163,3645.93,552799,0.185,0,1135368,1384370,396090,82296,95218,427875,317850,68848,304428038,1351813785,0,0,0,0,0,0,0,0,0,0,6,124,15,0,0,0,0,0,0,0,0
1,800.816,490.757,526687,750,62,1,151,3955.78,542174,0.159,0,1158768,1382810,366930,84240,97318,396375,294450,70408,312667020,1228229055,0,0,0,0,0,0,0,0,0,0,6,124,15,0,0,0,0,0,0,0,0
2,800.815,491.306,526687,750,62,1,111,5403.69,557173,0.133,0,1236768,1377610,269730,90720,104318,291375,216450,75608,332692774,927842745,0,0,0,0,0,0,0,0,0,0,6,124,15,0,0,0,0,0,0,0,0
3,800.816,490.796,526687,750,62,1,68,8421.01,524183,0.066,0,1320618,1372020,165240,97686,111843,178500,132600,81198,358898418,534758085,0,0,0,0,0,0,0,0,0,0,6,124,15,0,0,0,0,0,0,0,0
4,800.815,491.227,526687,750,62,1,68,8799.12,521002,0.054,0,1320618,1372020,165240,97686,111843,178500,132600,81198,359114733,531513360,0,0,0,0,0,0,0,0,0,0,6,124,15,0,0,0,0,0,0,0,0
5,800.815,490.985,526687,750,62,1,30,19818.9,467296,0.029,0,1394718,1367080,72900,103842,118493,78750,58500,86138,380527376,210323715,0,0,0,0,0,0,0,0,0,0,6,124,15,0,0,0,0,0,0,0,0
6,800.815,490.963,526687,750,62,1,14,40528.1,427583,0.016,0,1425918,1365000,34020,106434,121293,36750,27300,88218,388561540,89811255,0,0,0,0,0,0,0,0,0,0,6,124,15,0,0,0,0,0,0,0,0
7,800.815,491.21,526687,750,62,1,9,64933.2,458052,0.012,0,1435668,1364350,21870,107244,122168,23625,17550,88868,390425679,61849170,0,0,0,0,0,0,0,0,0,0,6,124,15,0,0,0,0,0,0,0,0
8,800.815,491.43,526687,750,62,1,16,33356.3,665941,0.012,0,1422018,1365260,38880,106110,120943,42000,31200,87958,383892465,159847380,0,0,0,0,0,0,0,0,0,0,6,124,15,0,0,0,0,0,0,0,0
9,800.815,491.261,526687,750,62,1,7,76229.7,675220,0.012,0,1439568,1364090,17010,107568,122518,18375,13650,89128,389821790,70907505,0,0,0,0,0,0,0,0,0,0,6,124,15,0,0,0,0,0,0,0,0
