3,823.801,382033,0.289,0,0,0,0,0,0,0,0
1,2083.89,239067,0.196,0,0,0,0,0,0,0,0
2,1154.11,507243,0.159,0,0,0,0,0,0,0,0
1,3618.48,171220,0.133,0,0,0,0,0,0,0,0
1,2144.84,111885,0.066,0,0,0,0,0,0,0,0
1,3920.17,362049,0.054,0,0,0,0,0,0,0,0
0,0,0,0.029,0,0,0,0,0,0,0,0
0,0,0,0.016,0,0,0,0,0,0,0,0
0,0,0,0.012,0,0,0,0,0,0,0,0
0,0,0,0.012,0,0,0,0,0,0,0,0
0,0,0,0.012,0,0,0,0,0,0,0,0
0,0,0,0.009,0,0,0,0,0,0,0,0
0,0,0,0.005,0,0,0,0,0,0,0,0
0,0,0,0.005,0,0,0,0,0,0,0,0
0,0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0.002,0,0,0,0,0,0,0,0
