Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
766.342,309.407,523705,782,62,1.39739e+06,105249,119391,86990.6,3.78007e+08,8.1875,125.25,720,0,0,0,0,335.697,336.008,336.052,314.88,2.79478e+06,210499,238781,173981,7.56015e+08,972.385,7.59433e+08
790.126,484.176,533269,758,81,1.35585e+06,99630,114459,82987.5,3.73918e+08,10,163.875,677,0,0,0,0,524.454,524.939,524.993,491.906,2.7117e+06,199260,228919,165975,7.47837e+08,992.262,7.51143e+08
742.117,397.238,519049,806,84,1.4423e+06,107679,122699,89244.4,3.86067e+08,6.125,168.062,722,0,0,0,0,429.928,430.305,430.376,403.265,2.8846e+06,215359,245398,178489,7.72134e+08,963.55,7.75657e+08
852.769,435.362,525958,704,64,1.25665e+06,96592.5,108444,79335,3.41566e+08,9,128.188,640,0,0,0,0,472.997,473.342,473.388,443.622,2.51329e+06,193185,216889,158670,6.83133e+08,976.123,6.86215e+08
817.346,271.468,537394,733,55,1.3114e+06,100997,113278,82903.1,3.64171e+08,7,111.25,678,0,0,0,0,294.446,294.785,294.844,276.237,2.62281e+06,201994,226556,165806,7.28341e+08,999.397,7.31559e+08
