Iteration,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Stale Blocks,Size of Longest Fork,Mined Blocks in Main Blockchain,Honest Mining Income,Attacker Income,Attacker's Hash Rate,Time per Block
1,679.75,0.512125,498649,0,9,56,256,56,0.3,600
2,648.106,0.481121,512471,0,8,70,270,70,0.3,600
3,640.893,0.520034,518583,0,8,83,272,83,0.3,600
4,621.464,0.450868,504915,0,9,127,314,127,0.3,600
5,641.246,0.479991,517260,0,8,95,305,95,0.3,600
6,629.168,0.4464,519903,0,10,117,300,117,0.3,600
7,605.978,0.504535,498035,0,13,59,292,59,0.3,600
8,634.879,0.503616,511034,0,10,85,298,85,0.3,600
9,621.59,0.471044,514315,0,11,78,288,78,0.3,600
10,646.214,0.455054,510694,0,11,64,295,64,0.3,600
11,621.796,0.456911,480738,0,7,77,279,77,0.3,600
12,627.529,0.446878,511161,0,8,81,289,81,0.3,600
13,661.061,0.448153,504694,0,8,98,290,98,0.3,600
14,636.02,0.4785,478016,0,9,64,294,64,0.3,600
15,631.169,0.485181,520663,0,8,44,280,44,0.3,600
16,630.749,0.463356,507480,0,9,90,302,90,0.3,600
17,620.99,0.474218,503260,0,8,65,277,65,0.3,600
18,691.042,0.496226,507999,0,10,52,257,52,0.3,600
19,611.151,0.466714,494338,0,9,49,299,49,0.3,600
20,643.136,0.481381,511615,0,8,58,263,58,0.3,600
21,625.443,0.493134,521664,0,9,111,299,111,0.3,600
22,618.853,0.494091,506733,0,7,56,275,56,0.3,600
23,634.093,0.46839,499505,0,9,69,303,69,0.3,600
24,648.238,0.485805,511425,0,10,118,294,118,0.3,600
25,655.312,0.47389,511901,0,11,95,276,95,0.3,600
26,589.11,0.489264,504021,0,10,67,290,67,0.3,600
27,638.277,0.497523,492360,0,8,43,263,43,0.3,600
28,617.67,0.475058,510782,0,8,56,279,56,0.3,600
29,655.61,0.475928,514047,0,17,60,267,60,0.3,600
30,641.155,0.455961,512679,0,7,112,301,112,0.3,600
31,596.14,0.490178,512723,0,11,54,276,54,0.3,600
32,644.458,0.525352,509428,0,6,63,266,63,0.3,600
33,628.264,0.458936,498272,0,7,100,295,100,0.3,600
34,629.137,0.46787,523204,0,10,88,290,88,0.3,600
35,659.857,0.476265,516924,0,8,72,269,72,0.3,600
