Iteration,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Stale Blocks,Size of Longest Fork,Mined Blocks in Main Blockchain,Honest Mining Income,Attacker Income,Attacker's Hash Rate,Time per Block
1,638.129,0.494579,494637,0,9,104,290,104,0.3,600
2,634.73,0.45896,526870,0,9,78,298,78,0.3,600
3,644.545,0.52413,514836,0,7,49,246,49,0.3,600
4,646.445,0.468417,503275,0,8,85,294,85,0.3,600
5,609.735,0.468102,501876,0,8,73,309,73,0.3,600
6,626.978,0.472105,514693,0,9,80,284,80,0.3,600
7,634.711,0.492587,495739,0,9,93,281,93,0.3,600
8,623.042,0.493831,518674,0,9,72,295,72,0.3,600
9,639.684,0.485477,511520,0,8,49,266,49,0.3,600
10,632.5,0.442441,495264,0,8,98,293,98,0.3,600
11,626.156,0.491777,506014,0,12,47,261,47,0.3,600
12,614.713,0.466921,520864,0,10,35,266,35,0.3,600
13,658.675,0.459169,510414,0,9,42,276,42,0.3,600
14,640.157,0.505796,516743,0,10,85,276,85,0.3,600
15,635.129,0.514927,525875,0,9,77,275,77,0.3,600
16,639.73,0.462807,493391,0,9,66,280,66,0.3,600
17,656.727,0.492113,516997,0,9,67,271,67,0.3,600
18,628.893,0.505484,519164,0,10,71,264,71,0.3,600
19,672.686,0.482377,502501,0,8,73,260,73,0.3,600
20,634.987,0.480283,501680,0,8,58,279,58,0.3,600
21,639.333,0.49978,487156,0,9,95,271,95,0.3,600
22,622.506,0.4845,494299,0,11,78,286,78,0.3,600
23,618.364,0.467474,505354,0,10,94,304,94,0.3,600
24,655.907,0.465095,498008,0,8,35,260,35,0.3,600
25,606.377,0.484115,497630,0,12,70,281,70,0.3,600
26,607.098,0.47528,497503,0,11,87,307,87,0.3,600
27,633.498,0.495698,506592,0,9,49,263,49,0.3,600
28,613.829,0.472739,505430,0,8,115,316,115,0.3,600
29,630.908,0.473276,513584,0,8,85,294,85,0.3,600
30,634.06,0.472428,523287,0,8,58,283,58,0.3,600
