Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain
0,586.176,2.39263,616962,52,0,0,0,0,0,0,0,39780,33150,0,8262,8925,0,0,6630,31469659,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
1,586.195,7.80875,616962,52,0,0,0,0,0,0,0,59670,53040,0,8262,8925,0,0,6630,31469659,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2,586.177,2.04532,616962,52,0,0,0,0,0,0,0,46410,39780,0,8262,8925,0,0,6630,31469659,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
3,586.197,5.04146,616962,52,0,0,0,0,0,0,0,86190,79560,0,8262,8925,0,0,6630,31469659,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
4,586.176,2.33001,616962,52,0,0,0,0,0,0,0,119340,112710,0,8262,8925,0,0,6630,31469659,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
5,586.178,1.90872,616962,52,0,0,0,0,0,0,0,72930,66300,0,8262,8925,0,0,6630,31469659,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
6,586.22,4.65583,616962,52,0,0,0,0,0,0,0,19890,13260,0,8262,8925,0,0,6630,31469659,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
7,586.181,2.03381,616962,52,0,0,0,0,0,0,0,72930,66300,0,8262,8925,0,0,6630,31469659,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
8,586.42,23.349,616962,52,0,0,0,0,0,0,0,13260,6630,0,8262,8925,0,0,6630,31469659,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9,586.162,3.30072,616962,52,0,0,0,0,0,0,0,26520,19890,0,8262,8925,0,0,6630,31469659,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
