Iteration,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Stale Blocks,Size of Longest Fork,Mined Blocks in Main Blockchain,Honest Mining Income,Attacker Income,Attacker's Hash Rate,Time per Block
1,666.503,0.49702,501109,0,7,72,262,72,0.3,600
2,627.249,0.477136,525918,0,8,56,270,56,0.3,600
3,610.345,0.53284,525123,0,8,58,255,58,0.3,600
4,616.738,0.470727,499768,0,9,134,327,134,0.3,600
5,661.851,0.482955,524296,0,9,81,267,81,0.3,600
6,633.889,0.482157,510298,0,8,72,274,72,0.3,600
7,643.577,0.523983,531535,0,7,35,246,35,0.3,600
8,629.564,0.503464,513291,0,11,79,296,79,0.3,600
9,632.723,0.48995,506264,0,8,66,280,66,0.3,600
10,605.263,0.479025,503804,0,9,56,291,56,0.3,600
11,605.543,0.464577,497245,0,10,49,290,49,0.3,600
12,623.238,0.456622,517642,0,9,101,301,101,0.3,600
13,665.51,0.437098,510332,0,9,70,286,70,0.3,600
14,634.31,0.487506,498522,0,8,93,292,93,0.3,600
15,618.158,0.475963,497978,0,8,100,299,100,0.3,600
16,641.021,0.490812,509011,0,8,65,282,65,0.3,600
17,602.459,0.471026,501100,0,9,42,284,42,0.3,600
18,620.237,0.493134,493293,0,11,71,287,71,0.3,600
19,619.789,0.507043,500960,0,11,70,291,70,0.3,600
20,620.918,0.482935,503407,0,16,70,286,70,0.3,600
21,624.965,0.497872,500245,0,8,126,303,126,0.3,600
22,602.885,0.480414,510289,0,7,93,309,93,0.3,600
23,637.919,0.509005,520406,0,7,65,265,65,0.3,600
24,643.393,0.432315,487517,0,9,126,296,126,0.3,600
25,586.374,0.448806,488696,0,8,112,338,112,0.3,600
26,634.04,0.473728,501152,0,8,84,297,84,0.3,600
27,632.9,0.471652,514259,0,8,72,267,72,0.3,600
28,698.211,0.486997,511552,0,8,56,243,56,0.3,600
29,657.924,0.480372,508901,0,16,95,271,95,0.3,600
30,625.318,0.460689,515109,0,8,122,294,122,0.3,600
31,662.233,0.453213,504328,0,13,106,285,106,0.3,600
32,605.462,0.520171,495867,0,8,60,279,60,0.3,600
33,618.576,0.478137,505285,0,7,85,287,85,0.3,600
34,654.321,0.440523,514645,0,11,107,305,107,0.3,600
35,657.495,0.476018,516899,0,8,49,273,49,0.3,600
36,647.97,0.45958,526368,0,11,75,284,75,0.3,600
37,642.492,0.500367,501983,0,8,58,272,58,0.3,600
38,653.275,0.506163,528776,0,8,84,289,84,0.3,600
39,624.035,0.479174,515383,0,8,57,281,57,0.3,600
40,619.113,0.477343,504827,0,10,78,302,78,0.3,600
41,591.286,0.461602,521102,0,8,113,321,113,0.3,600
42,624.015,0.454332,508129,0,8,107,306,107,0.3,600
43,629.793,0.466603,511185,0,10,108,298,108,0.3,600
44,654.537,0.445272,506777,0,14,59,276,59,0.3,600
45,611.428,0.49343,502690,0,8,86,288,86,0.3,600
46,649.816,0.478335,514155,0,10,84,284,84,0.3,600
47,609.754,0.508557,502123,0,8,49,252,49,0.3,600
48,659.936,0.474297,512286,0,7,50,267,50,0.3,600
49,647.976,0.496381,489131,0,9,77,278,77,0.3,600
50,628.661,0.503268,503034,0,9,65,281,65,0.3,600
51,618.544,0.48055,525780,0,7,51,266,51,0.3,600
52,653.187,0.494854,520586,0,9,85,279,85,0.3,600
53,633.371,0.466342,503692,0,8,114,306,114,0.3,600
54,612.342,0.466833,509020,0,11,93,307,93,0.3,600
55,631.643,0.467288,512764,0,10,98,282,98,0.3,600
56,653.59,0.450531,519681,0,9,70,281,70,0.3,600
