Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,790.303,382.553,517181,760,55,1,144,4087.22,466418,0.185,0,1192482,1400100,349920,87966,100857,378000,280800,73182,325424942,1007657175,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
1,790.303,382.508,517181,760,55,1,151,3972.45,567375,0.159,0,1178832,1401010,366930,86832,99632,396375,294450,72272,306914901,1285307790,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
2,790.304,383.004,517181,760,55,1,125,4769.18,515685,0.133,0,1229532,1397630,303750,91044,104182,328125,243750,75652,328130200,967078305,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
3,790.303,382.543,517181,760,55,1,77,7781.65,488998,0.066,0,1323132,1391390,187110,98820,112582,202125,150150,81892,354942330,564896355,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
4,790.305,382.935,517181,760,55,1,62,9457.12,583152,0.054,0,1352382,1389440,150660,101250,115207,162750,120900,83842,356441085,542415030,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
5,790.304,382.71,517181,760,55,1,29,20216.8,538875,0.029,0,1416732,1385150,70470,106596,120982,76125,56550,88132,376972088,234449985,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
6,790.304,382.684,517181,760,55,1,14,39504.3,575440,0.016,0,1445982,1383200,34020,109026,123607,36750,27300,90082,384544663,120861360,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
7,790.305,382.906,517181,760,55,1,21,28104.5,497112,0.012,0,1432332,1384110,51030,107892,122382,55125,40950,89172,382160835,156618780,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
8,790.305,383.123,517181,760,55,1,10,51462.6,512313,0.012,0,1453782,1382680,24300,109674,124307,26250,19500,90602,387478057,76860450,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
9,790.305,382.948,517181,760,55,1,18,27987,604929,0.012,0,1438182,1383720,43740,108378,122907,47250,35100,89562,381711753,163355010,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
10,790.304,382.683,517181,760,55,1,11,53457.2,404455,0.009,0,1451832,1382810,26730,109512,124132,28875,21450,90472,388152092,66749925,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
11,790.304,382.927,517181,760,55,1,4,127231,714168,0.005,0,1465482,1381900,9720,110646,125357,10500,7800,91382,389745057,42855450,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
12,790.304,383.011,517181,760,55,1,5,85742.1,492585,0.005,0,1463532,1382030,12150,110484,125182,13125,9750,91252,390138714,36950595,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
13,790.304,382.8,517181,760,55,1,1,441522,447655,0.002,0,1471332,1381510,2430,111132,125882,2625,1950,91772,392154342,6716175,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
14,790.304,382.954,517181,760,55,1,3,165361,825484,0.002,0,1467432,1381770,7290,110808,125532,7875,5850,91512,390125364,37150845,0,0,0,0,0,0,0,0,0,0,6,110,15,0,0,0,0,0,0,0,0
15,624.248,0.522662,507653,962,257,1,286,2097.09,468481,0.3,12,1316250,1290780,29160,109350,118125,118980,62280,87750,353994882,579108075,0,0,0,0,0,0,0,0,0,0,7,514,15,0,0,84,0,0,0,1,0
0,824.118,227.33,506362,727,39,1,180,3323.94,502257,0.185,0,1060564,1344720,437400,81324,91414,472500,351000,66844,277257622,1356335610,0,0,0,0,0,0,0,0,0,0,7,78,15,0,0,0,-1.061e-314,2.56914e-322,0,0,0
1,824.118,227.392,506362,727,39,1,130,4602.26,508895,0.159,0,1158064,1338220,315900,89424,100164,341250,253500,73344,301511938,992520870,0,0,0,0,0,0,0,0,0,0,7,78,15,0,0,0,2.122e-314,2.12055e-308,590621,0,590622
2,824.119,227.576,506362,727,39,1,116,5010.99,526893,0.133,0,1185364,1336400,281880,91692,102614,304500,226200,75164,306549996,916950000,0,0,0,0,0,0,0,0,0,0,7,78,15,0,0,0,4.68331e-310,0,4.68331e-310,0,3.20536e-309
3,824.118,227.443,506362,727,39,1,70,8442.61,517050,0.066,0,1275064,1330420,170100,99144,110664,183750,136500,81144,331480227,542996535,0,0,0,0,0,0,0,0,0,0,7,78,15,0,0,0,3.16202e-322,4.68265e-310,2.31223e-321,0,1.58328e-308
4,824.119,227.608,506362,727,39,1,68,8757.58,483631,0.054,0,1278964,1330160,165240,99468,111014,178500,132600,81404,334786963,493395495,0,0,0,0,0,0,0,0,0,0,7,78,15,0,0,0,517591,517591,4.68325e-310,0,4.68331e-310
5,824.119,227.485,506362,727,39,1,34,17493.3,581224,0.029,0,1345264,1325740,82620,104976,116964,89250,66300,85824,347915325,296470065,0,0,0,0,0,0,0,0,0,0,7,78,15,0,0,0,2.33426e-313,6.32404e-322,3.16202e-322,0,4.68265e-310
6,824.119,227.53,506362,727,39,1,18,29922.1,525304,0.016,0,1376464,1323660,43740,107568,119764,47250,35100,87904,358222911,141856275,0,0,0,0,0,0,0,0,0,0,7,78,15,0,0,0,4.68331e-310,0,0,0,0
7,824.119,227.764,506362,727,39,1,11,43624.8,412724,0.012,0,1390114,1322750,26730,108702,120989,28875,21450,88814,363139040,68114340,0,0,0,0,0,0,0,0,0,0,7,78,15,0,0,0,393458,393459,8.29221e-317,0,0
8,824.119,227.602,506362,727,39,1,12,46845.1,468298,0.012,0,1388164,1322880,29160,108540,120814,31500,23400,88684,362059337,84309885,0,0,0,0,0,0,0,0,0,0,7,78,15,0,0,0,1.27403e-313,4.68331e-310,8.30524e-321,0,4.68331e-310
