Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain
78,714.311,1.80186,536690,34,0,0,0,0,0,0,0,34320,30030,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
79,715.795,37.3269,536690,34,0,0,0,0,0,0,0,25740,21450,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
80,714.575,7.76202,536690,34,0,0,0,0,0,0,0,68640,64350,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
81,714.297,1.80122,536690,34,0,1,0,0,0,0.009,0,205920,201630,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
82,714.331,2.48614,536690,34,0,0,0,0,0,0,0,85800,81510,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
83,714.332,2.45219,536690,34,0,0,0,0,0,0,0,25740,21450,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
84,714.358,3.22489,536690,34,0,0,0,0,0,0,0,38610,34320,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
85,714.402,3.14352,536690,34,0,1,0,0,0,0.005,0,197340,193050,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
86,714.661,10.3833,536690,34,0,0,0,0,0,0,0,47190,42900,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
87,714.39,3.97722,536690,34,0,0,0,0,0,0,0,38610,34320,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
88,714.321,2.43848,536690,34,0,0,0,0,0,0,0,85800,81510,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
89,714.401,3.39705,536690,34,0,0,0,0,0,0,0,25740,21450,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
90,714.35,2.9,536690,34,0,1,0,0,0,0.005,0,158730,154440,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
91,714.344,2.3228,536690,34,0,0,0,0,0,0,0,51480,47190,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
92,714.412,4.65147,536690,34,0,0,0,0,0,0,0,55770,51480,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
93,714.274,1.37843,536690,34,0,0,0,0,0,0,0,68640,64350,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
94,714.473,6.36425,536690,34,0,0,0,0,0,0,0,38610,34320,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
95,715.178,22.2871,536690,34,0,0,0,0,0,0,0,30030,25740,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
96,714.359,2.66918,536690,34,0,1,0,0,0,0.002,0,132990,128700,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
97,714.293,2.15718,536690,34,0,0,0,0,0,0,0,68640,64350,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
98,714.374,3.70002,536690,34,0,1,0,0,0,0.002,0,132990,128700,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
99,714.566,7.17348,536690,34,0,0,0,0,0,0,0,25740,21450,0,5346,5775,0,0,4290,17713735,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
