Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,776.466,268.359,520159,771,48,1,196,2993.02,543632,0.185,0,1113472,1426880,476280,82944,94622,514500,382200,68792,294016735,1598542725,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
1,776.466,268.364,520159,771,48,1,137,4360.13,501719,0.159,0,1228522,1419210,332910,92502,104947,359625,267150,76462,331838391,1031217885,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
2,776.465,268.8,520159,771,48,1,152,3889.63,502562,0.133,0,1199272,1421160,369360,90072,102322,399000,296400,74512,324183089,1146047415,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
3,776.466,268.381,520159,771,48,1,80,7427.82,524927,0.066,0,1339672,1411800,194400,101736,114922,210000,156000,83872,358584929,630019815,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
4,776.465,268.763,520159,771,48,1,42,14120,628688,0.054,0,1413772,1406860,102060,107892,121572,110250,81900,88812,374177568,396130230,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
5,776.466,268.557,520159,771,48,1,23,23106.6,466723,0.029,0,1450822,1404390,55890,110970,124897,60375,44850,91282,389849557,161050395,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
6,776.466,268.546,520159,771,48,1,13,37205.8,598402,0.016,0,1470322,1403090,31590,112590,126647,34125,25350,92582,392805856,116705910,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
7,776.464,268.75,520159,771,48,1,13,45990.6,588331,0.012,0,1470322,1403090,31590,112590,126647,34125,25350,92582,392936775,114742125,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
8,776.465,268.946,520159,771,48,1,8,63525,603440,0.012,0,1480072,1402440,19440,113400,127522,21000,15600,93232,395758010,72423600,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
9,776.465,268.801,520159,771,48,1,10,57918.2,530812,0.012,0,1476172,1402700,24300,113076,127172,26250,19500,92972,395277225,79635375,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
10,776.465,268.543,520159,771,48,1,11,52110.1,617069,0.009,0,1474222,1402830,26730,112914,126997,28875,21450,92842,393797498,101831280,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
11,776.465,268.793,520159,771,48,1,6,97946.7,333161,0.005,0,1483972,1402180,14580,113724,127872,15750,11700,93492,398586743,29992605,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
12,776.465,268.846,520159,771,48,1,4,149197,857732,0.005,0,1487872,1401920,9720,114048,128222,10500,7800,93752,397154961,51469335,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
13,776.465,268.672,520159,771,48,1,3,79600,889924,0.002,0,1489822,1401790,7290,114210,128397,7875,5850,93882,397916207,40050645,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
14,776.465,268.775,520159,771,48,1,0,0,0,0.002,0,1495672,1401400,0,114696,128922,0,0,94272,400586250,0,0,0,0,0,0,0,0,0,0,0,8,96,15,0,0,0,0,0,0,0,0
15,606.312,0.509511,503032,989,263,1,290,2066.4,432912,0.3,10,1361100,1323340,24300,113076,122150,101580,52980,90740,371323956,438934410,0,0,0,0,0,0,0,0,0,0,8,526,15,0,0,72,0,0,0,1,0
0,830.968,414.247,518201,723,60,1,162,3700.79,514034,0.185,0,1085702,1335100,393660,79866,91702,425250,315900,66502,290912285,1249320285,0,0,0,0,0,0,0,0,0,0,10,120,15,0,0,0,0,0,0,0,0
1,830.968,414.302,518201,723,60,1,148,3994.21,541908,0.159,0,1113002,1333280,359640,82134,94152,388500,288600,68322,293984589,1203235725,0,0,0,0,0,0,0,0,0,0,10,120,15,0,0,0,0,0,0,0,0
2,830.966,414.565,518201,723,60,1,128,4687.17,494977,0.133,0,1152002,1330680,311040,85374,97652,336000,249600,70922,310831717,950528805,0,0,0,0,0,0,0,0,0,0,10,120,15,0,0,0,0,0,0,0,0
