Iteration,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Stale Blocks,Size of Longest Fork,Mined Blocks in Main Blockchain,Honest Mining Income,Attacker Income,Attacker's Hash Rate,Time per Block
1,615.964,0.51773,530166,0,12,87,294,87,0.3,600
2,640.978,0.472726,537353,0,10,72,282,72,0.3,600
3,619.431,0.483442,517582,0,8,86,296,86,0.3,600
4,626.375,0.477859,510745,0,7,57,287,57,0.3,600
5,666.005,0.46901,475446,0,10,77,282,77,0.3,600
6,628.278,0.453047,492249,0,8,93,285,93,0.3,600
7,637.475,0.475867,533809,0,7,85,284,85,0.3,600
8,678.466,0.524193,507542,0,9,59,249,59,0.3,600
9,624.854,0.484951,516309,0,8,71,283,71,0.3,600
10,590.846,0.486918,516354,0,9,66,281,66,0.3,600
