Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain
0,688.55,1.87904,445507,44,0,0,0,0,0,0,0,33540,27950,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
1,688.666,5.50349,445507,44,0,0,0,0,0,0,0,50310,44720,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2,688.547,1.74179,445507,44,0,0,0,0,0,0,0,39130,33540,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
3,688.615,3.93613,445507,44,0,0,0,0,0,0,0,72670,67080,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
4,688.561,2.00612,445507,44,0,0,0,0,0,0,0,100620,95030,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
5,688.554,1.7144,445507,44,0,0,0,0,0,0,0,61490,55900,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
6,688.61,3.94996,445507,44,0,0,0,0,0,0,0,16770,11180,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
7,688.567,1.80763,445507,44,0,0,0,0,0,0,0,61490,55900,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
8,688.872,17.5217,445507,44,0,0,0,0,0,0,0,11180,5590,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9,688.588,2.33473,445507,44,0,0,0,0,0,0,0,22360,16770,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
10,688.541,1.94009,445507,44,0,0,0,0,0,0,0,72670,67080,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
11,688.591,3.4952,445507,44,0,0,0,0,0,0,0,95030,89440,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
12,688.563,1.82154,445507,44,0,0,0,0,0,0,0,61490,55900,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
13,688.608,3.03409,445507,44,0,0,0,0,0,0,0,72670,67080,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
14,688.56,1.96763,445507,44,0,0,0,0,0,0,0,72670,67080,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
15,688.533,1.58079,445507,44,0,1,8,3536.48,484525,0.289,0,443040,548860,137538,5670,6125,148575,110370,4550,15283735,407862246,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0
16,688.568,2.07608,445507,44,0,0,0,0,0,0,0,78260,72670,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
17,688.525,1.60844,445507,44,0,1,8,3700.82,426273,0.196,0,440440,548860,140778,5670,6125,152075,112970,4550,15749748,378532371,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0
18,688.571,3.90214,445507,44,0,0,0,0,0,0,0,16770,11180,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
19,688.583,3.99325,445507,44,0,0,0,0,0,0,0,44720,39130,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
20,688.535,1.63942,445507,44,0,1,8,2501.08,313999,0.159,0,441350,537680,125712,5670,6125,135800,100880,4550,16647944,243733064,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0
21,688.581,3.02769,445507,44,0,0,0,0,0,0,0,78260,72670,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
22,688.544,1.84875,445507,44,0,0,0,0,0,0,0,44720,39130,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
23,688.639,4.51988,445507,44,0,0,0,0,0,0,0,134160,128570,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
24,688.599,2.3253,445507,44,0,0,0,0,0,0,0,78260,72670,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
25,688.562,1.81314,445507,44,0,0,0,0,0,0,0,22360,16770,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
26,688.681,6.26352,445507,44,0,0,0,0,0,0,0,89440,83850,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
27,688.553,1.89242,445507,44,0,0,0,0,0,0,0,50310,44720,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
28,688.568,1.85147,445507,44,0,0,0,0,0,0,0,50310,44720,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
29,688.578,1.7124,445507,44,0,1,11,2273.45,466840,0.133,0,379730,515710,174636,5184,5600,188650,140140,4160,14024429,503795103,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0
30,688.536,1.68854,445507,44,0,1,1,21888.3,928268,0.066,0,485940,492050,14418,6804,7350,15575,11570,5460,18232298,82623862,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0
31,688.581,2.19288,445507,44,0,1,4,7385.75,464240,0.054,0,451230,492440,57672,6318,6825,62300,46280,5070,17303334,165301658,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0
32,688.564,2.12159,445507,44,0,0,0,0,0,0,0,39130,33540,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
33,688.594,2.38756,445507,44,0,0,0,0,0,0,0,33540,27950,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
34,688.618,3.46749,445507,44,0,0,0,0,0,0,0,95030,89440,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
35,688.575,2.79984,445507,44,0,0,0,0,0,0,0,16770,11180,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
36,688.568,1.81838,445507,44,0,0,0,0,0,0,0,61490,55900,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
37,688.621,2.96705,445507,44,0,0,0,0,0,0,0,44720,39130,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
38,688.596,2.44779,445507,44,0,0,0,0,0,0,0,50310,44720,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
39,688.54,1.84965,445507,44,0,0,0,0,0,0,0,22360,16770,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
40,688.601,2.61817,445507,44,0,0,0,0,0,0,0,22360,16770,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
41,688.555,1.93065,445507,44,0,0,0,0,0,0,0,44720,39130,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
42,688.728,8.56407,445507,44,0,0,0,0,0,0,0,100620,95030,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
43,689.068,26.4905,445507,44,0,0,0,0,0,0,0,50310,44720,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
44,688.57,3.51844,445507,44,0,0,0,0,0,0,0,16770,11180,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
45,688.572,2.40503,445507,44,0,0,0,0,0,0,0,78260,72670,0,6966,7525,0,0,5590,19160656,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
