Iteration,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Stale Blocks,Size of Longest Fork,Mined Blocks in Main Blockchain,Honest Mining Income,Attacker Income,Attacker's Hash Rate,Time per Block,Fork Height,Fork Length,Block Interval,Time Interval
1,641.185,0.485369,521216,0,10,78,291,78,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
2,619.932,0.485268,527028,0,8,50,273,50,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
3,592.382,0.503603,517449,0,9,80,312,80,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
4,634.256,0.463312,504851,0,7,86,281,86,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
5,634.775,0.511252,499379,0,14,49,260,49,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
6,602.843,0.444986,494237,0,9,88,311,88,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
7,658.698,0.491299,518325,0,8,56,263,56,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
8,649.679,0.517428,516410,0,9,83,283,83,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
9,599.428,0.474159,509606,0,14,107,315,107,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
10,630.147,0.450299,508717,0,9,92,306,92,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
11,630.138,0.45939,503580,0,7,84,283,84,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
12,615.74,0.469505,505756,0,9,50,273,50,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
13,631.228,0.442517,514780,0,7,49,265,49,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
14,676.275,0.524666,520999,0,7,57,232,57,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
15,617.165,0.516183,519532,0,8,66,274,66,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
16,645.135,0.464798,501126,0,8,95,290,95,0.3,600,4.6618e-310,4.6618e-310,2.37152e-321,2.37152e-322
