Iteration,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Stale Blocks,Size of Longest Fork,Mined Blocks in Main Blockchain,Honest Mining Income,Attacker Income,Attacker's Hash Rate,Time per Block
1,624.273,0.484711,498245,0,10,71,288,71,0.3,600
2,624.273,0.484711,498245,0,10,71,288,71,0.3,600
3,624.273,0.484711,498245,0,10,71,288,71,0.3,600
4,624.273,0.484711,498245,0,10,71,288,71,0.3,600
5,624.273,0.484711,498245,0,10,71,288,71,0.3,600
6,624.273,0.484711,498245,0,10,71,288,71,0.3,600
7,624.273,0.484711,498245,0,10,71,288,71,0.3,600
8,624.273,0.484711,498245,0,10,71,288,71,0.3,600
9,624.273,0.484711,498245,0,10,71,288,71,0.3,600
10,624.273,0.484711,498245,0,10,71,288,71,0.3,600
