Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,841.397,431.122,546383,714,51,1,168,3570.93,557566,0.185,0,1055700,1319500,408240,76140,88325,441000,327600,63800,295942618,1405293210,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
1,841.397,431.087,546383,714,51,1,136,4349.23,557674,0.159,0,1118100,1315340,330480,81324,93925,357000,265200,67960,313772881,1137839265,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
2,841.398,431.729,546383,714,51,1,119,5035.89,559162,0.133,0,1151250,1313130,289170,84078,96900,312375,232050,70170,323077818,998265210,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
3,841.397,431.126,546383,714,51,1,68,8600.9,515371,0.066,0,1250700,1306500,165240,92340,105825,178500,132600,76800,354577515,525769755,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
4,841.398,431.633,546383,714,51,1,46,12892.5,568893,0.054,0,1293600,1303640,111780,95904,109675,120750,89700,79660,363455636,392597940,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
5,841.398,431.358,546383,714,51,1,21,23469.5,419711,0.029,0,1342350,1300390,51030,99954,114050,55125,40950,82910,380813011,132237315,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
6,841.398,431.321,546383,714,51,1,13,44800,660771,0.016,0,1357950,1299350,31590,101250,115450,34125,25350,83950,381037644,128867820,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
7,841.398,431.584,546383,714,51,1,15,37517.1,658346,0.012,0,1354050,1299610,36450,100926,115100,39375,29250,83690,379752295,148148055,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
8,841.398,431.858,546383,714,51,1,8,71100.6,378587,0.012,0,1367700,1298700,19440,102060,116325,21000,15600,84600,386599415,45441255,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
9,841.398,431.66,546383,714,51,1,8,74657,581588,0.012,0,1367700,1298700,19440,102060,116325,21000,15600,84600,384975408,69801360,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
10,841.398,431.331,546383,714,51,1,8,72241.2,545885,0.009,0,1367700,1298700,19440,102060,116325,21000,15600,84600,385261029,65517045,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
11,841.398,431.628,546383,714,51,1,8,48689.5,589466,0.005,0,1367700,1298700,19440,102060,116325,21000,15600,84600,384912387,70746675,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
12,841.398,431.726,546383,714,51,1,3,132198,696709,0.005,0,1377450,1298050,7290,102870,117200,7875,5850,85250,387538434,31355970,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
13,841.398,431.484,546383,714,51,1,3,151172,539470,0.002,0,1377450,1298050,7290,102870,117200,7875,5850,85250,388010153,24280185,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
14,841.398,431.666,546383,714,51,1,2,299194,679957,0.002,0,1379400,1297920,4860,103032,117375,5250,3900,85380,388268738,20401410,0,0,0,0,0,0,0,0,0,0,8,102,15,0,0,0,0,0,0,0,0
15,660.925,0.500942,537970,909,246,1,282,2119.31,503668,0.3,12,1220700,1203220,29160,101412,109550,122625,63900,81380,346437498,647870010,0,0,0,0,0,0,0,0,0,0,9,492,15,0,0,87,0,0,0,1,0
0,801.674,331.971,516951,747,51,1,176,3395.01,544254,0.185,0,1106330,1380600,427680,83430,94580,462000,343200,68930,289903093,1437067440,0,0,0,0,0,0,0,0,0,0,7,102,15,0,0,0,0,0,0,0,0
1,801.674,332.028,516951,747,51,1,144,4134.59,556745,0.159,0,1168730,1376440,349920,88614,100180,378000,280800,73090,305523381,1202763120,0,0,0,0,0,0,0,0,0,0,7,102,15,0,0,0,0,0,0,0,0
2,801.673,332.226,516951,747,51,1,130,4600.37,540977,0.133,0,1196030,1374620,315900,90882,102630,341250,253500,74910,315368859,1055080950,0,0,0,0,0,0,0,0,0,0,7,102,15,0,0,0,0,0,0,0,0
