Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
826.748,429.379,526141,726,79,1.29658e+06,96440.6,110103,80023.1,3.52884e+08,10,159.125,647,0,0,0,0,465.892,466.242,466.31,436.963,2.59316e+06,192881,220206,160046,7.05767e+08,977.84,7.08934e+08
795.948,505.768,516619,754,88,1.34741e+06,100086,114344,83083.1,3.59454e+08,9,176.375,666,0,0,0,0,548.126,548.541,548.595,514.067,2.69483e+06,200171,228688,166166,7.18909e+08,959.095,7.22199e+08
816.546,202.328,517780,735,43,1.31246e+06,102819,114336,83960.6,3.50638e+08,7,86.25,692,0,0,0,0,219.909,220.16,220.24,206.317,2.62492e+06,205639,228671,167921,7.01276e+08,959.814,7.04503e+08
767.671,308.75,528180,781,67,1.39801e+06,106312,120008,87607.5,3.81066e+08,7,133.938,714,0,0,0,0,334.317,334.678,334.71,313.611,2.79602e+06,212625,240015,175215,7.62132e+08,981.482,7.65556e+08
741.421,300.233,536301,809,73,1.44781e+06,111173,124878,91338.8,4.01372e+08,7,146,736,0,0,0,0,325.261,325.621,325.685,305.128,2.89561e+06,222345,249756,182678,8.02744e+08,997.889,8.06295e+08
