Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
0,595.761,2.2797,706193,11,0,0,0,0,0,0,0,7800,6500,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4.65338e-310
1,596.188,9.39888,706193,11,0,0,0,0,0,0,0,11700,10400,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4.65338e-310,4.65338e-310,4.65338e-310,7.90505e-323
2,595.707,2.23468,706193,11,0,0,0,0,0,0,0,9100,7800,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4.65338e-310,4.65338e-310,9.88131e-323,9.88131e-323
3,595.963,6.00863,706193,11,0,0,0,0,0,0,0,16900,15600,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4.65338e-310,4.94066e-323,3.64304e+257,1.35878e-319
4,595.835,2.92685,706193,11,0,0,0,0,0,0,0,23400,22100,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,5.92879e-323,2.5769e+161,9.48235e-315,1.9918e-313
5,595.763,2.15447,706193,11,0,0,0,0,0,0,0,14300,13000,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9.88131e-323,0,2.99118e-313,4.65338e-310
6,596.127,5.40155,706193,11,0,0,0,0,0,0,0,3900,2600,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3.44979e-313,4.65338e-310,2.96439e-323
7,595.746,2.28892,706193,11,0,0,0,0,0,0,0,14300,13000,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1.15836e-313,4.65338e-310,1.4822e-323,3.285e-317
8,599.002,28.4774,706193,11,0,0,0,0,0,0,0,2600,1300,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4.65338e-310,1.4822e-323,3.285e-317,0
9,595.651,4.06542,706193,11,0,0,0,0,0,0,0,5200,3900,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1.4822e-323,3.285e-317,0,2.37152e-322
10,595.999,1.76302,706193,11,0,0,0,0,0,0,0,16900,15600,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3.285e-317,0,4.42683e-321,4.94066e-324
11,596.048,4.78034,706193,11,0,0,0,0,0,0,0,22100,20800,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3.55727e-322,4.94066e-324,4.65338e-310
12,595.789,2.61024,706193,11,0,0,0,0,0,0,0,14300,13000,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5.13828e-322,4.94066e-324,4.65338e-310,0
13,595.591,5.13126,706193,11,0,0,0,0,0,0,0,16900,15600,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
14,595.789,2.86335,706193,11,0,0,0,0,0,0,0,16900,15600,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4.65338e-310,0,0,0
15,595.945,1.25153,706193,11,0,1,1,1069.62,997770,0.289,0,114140,127530,17658,1458,1575,19075,14170,1170,6064974,105268256,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,4.65338e-310,4.65338e-310,4.65338e-310
16,595.743,3.04969,706193,11,0,0,0,0,0,0,0,18200,16900,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4.65338e-310,4.65338e-310,4.65338e-310,0
17,595.923,1.23268,706193,11,0,1,3,1519.25,642820,0.196,0,88920,127790,49086,1134,1225,53025,39390,910,5134103,196321479,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0
18,596.263,4.80285,706193,11,0,0,0,0,0,0,0,3900,2600,0,1620,1750,0,0,1300,7062834,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
