Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
810.728,294.546,525654,22941,1766,1.33543e+06,1.33802e+06,108054,102308,115054,116725,86710,84115.3,3.61417e+08,3.58593e+08,7,100,21175,0,0,0,0
803.569,282.84,525047,23892,2032,1.33325e+06,1.33325e+06,102667,102668,115159,115159,84277.5,84277.5,3.6124e+08,3.6124e+08,7.125,127,21860,0,0,0,0
804.014,283.557,525085,24625,2082,1.06334e+06,1.35616e+06,447120,79704,90636,483000,358800,65976,2.88831e+08,1.44738e+09,7,100,22543,0,0,0,0
804.432,284.232,525120,25358,2132,1.07309e+06,1.35551e+06,434970,80514,91511,469875,349050,66626,2.94477e+08,1.36269e+09,7,100,23226,0,0,0,0
804.828,284.883,525154,26091,2182,1.12054e+06,1.35235e+06,375840,84456,95769.3,406000,301600,69789.3,3.05494e+08,1.19743e+09,7,100,23909,0,0,0,0
805.202,285.485,525185,26824,2232,1.15937e+06,1.34976e+06,327442,87682.5,99254.8,353719,262762,72378.5,3.13454e+08,1.07804e+09,7,100,24592,0,0,0,0
805.556,286.068,525215,27557,2282,1.19477e+06,1.3474e+06,283338,90622.8,102431,306075,227370,74738,3.23223e+08,9.31498e+08,7,100,25275,0,0,0,0
805.891,286.614,525244,28290,2332,1.22519e+06,1.34537e+06,245430,93150,105161,265125,196950,76766,3.31371e+08,8.09282e+08,7,100,25958,0,0,0,0
806.21,287.132,525271,29023,2382,1.24914e+06,1.34377e+06,215576,95140.3,107311,232875,172993,78363.1,3.37846e+08,7.12154e+08,7,100,26641,0,0,0,0
806.513,287.633,525297,29756,2432,1.26906e+06,1.34244e+06,190755,96795,109098,206062,153075,79691,3.43357e+08,6.29486e+08,7,100,27324,0,0,0,0
806.801,288.107,525321,30489,2482,1.28282e+06,1.34153e+06,173610,97938,110333,187542,139317,80608.2,3.46927e+08,5.75943e+08,7,100,28007,0,0,0,0
807.076,288.561,525344,31222,2532,1.29461e+06,1.34074e+06,158922,98917.2,111391,171675,127530,81394,3.50217e+08,5.26588e+08,7,100,28690,0,0,0,0
807.338,288.988,525367,31955,2582,1.30567e+06,1.34e+06,145137,99836.2,112384,156784,116468,82131.5,3.5329e+08,4.80498e+08,7,100,29373,0,0,0,0
807.588,289.399,525388,32688,2632,1.31456e+06,1.33941e+06,134055,100575,113182,144812,107575,82724.3,3.55712e+08,4.4416e+08,7,100,30056,0,0,0,0
807.828,289.795,525408,33421,2682,1.32239e+06,1.33889e+06,124304,101225,113884,134279,99750,83246,3.57833e+08,4.12344e+08,7,100,30739,0,0,0,0
808.057,290.174,525428,34154,2732,1.32951e+06,1.33842e+06,115425,101817,114524,124688,92625,83721,3.59797e+08,3.82891e+08,7,100,31422,0,0,0,0
808.277,290.538,525446,34887,2782,1.33543e+06,1.33802e+06,108054,102308,115054,116725,86710,84115.3,3.61417e+08,3.58593e+08,7,100,32105,0,0,0,0
803.569,282.84,525047,35838,3048,1.33325e+06,1.33325e+06,102667,102668,115159,115159,84277.5,84277.5,3.6124e+08,3.6124e+08,7.125,127,32790,0,0,0,0
803.868,283.323,525072,36571,3098,1.06334e+06,1.35616e+06,447120,79704,90636,483000,358800,65976,2.88831e+08,1.44738e+09,7,100,33473,0,0,0,0
804.156,283.786,525097,37304,3148,1.07309e+06,1.35551e+06,434970,80514,91511,469875,349050,66626,2.94477e+08,1.36269e+09,7,100,34156,0,0,0,0
804.432,284.241,525120,38037,3198,1.12054e+06,1.35235e+06,375840,84456,95769.3,406000,301600,69789.3,3.05494e+08,1.19743e+09,7,100,34839,0,0,0,0
804.699,284.67,525143,38770,3248,1.15937e+06,1.34976e+06,327442,87682.5,99254.8,353719,262762,72378.5,3.13454e+08,1.07804e+09,7,100,35522,0,0,0,0
804.955,285.092,525164,39503,3298,1.19477e+06,1.3474e+06,283338,90622.8,102431,306075,227370,74738,3.23223e+08,9.31498e+08,7,100,36205,0,0,0,0
805.202,285.493,525185,40236,3348,1.22519e+06,1.34537e+06,245430,93150,105161,265125,196950,76766,3.31371e+08,8.09282e+08,7,100,36888,0,0,0,0
805.44,285.88,525206,40969,3398,1.24914e+06,1.34377e+06,215576,95140.3,107311,232875,172993,78363.1,3.37846e+08,7.12154e+08,7,100,37571,0,0,0,0
805.669,286.26,525225,41702,3448,1.26906e+06,1.34244e+06,190755,96795,109098,206062,153075,79691,3.43357e+08,6.29486e+08,7,100,38254,0,0,0,0
805.891,286.624,525244,42435,3498,1.28282e+06,1.34153e+06,173610,97938,110333,187542,139317,80608.2,3.46927e+08,5.75943e+08,7,100,38937,0,0,0,0
806.105,286.978,525262,43168,3548,1.29461e+06,1.34074e+06,158922,98917.2,111391,171675,127530,81394,3.50217e+08,5.26588e+08,7,100,39620,0,0,0,0
806.312,287.315,525280,43901,3598,1.30567e+06,1.34e+06,145137,99836.2,112384,156784,116468,82131.5,3.5329e+08,4.80498e+08,7,100,40303,0,0,0,0
806.513,287.643,525297,44634,3648,1.31456e+06,1.33941e+06,134055,100575,113182,144812,107575,82724.3,3.55712e+08,4.4416e+08,7,100,40986,0,0,0,0
806.706,287.963,525313,45367,3698,1.32239e+06,1.33889e+06,124304,101225,113884,134279,99750,83246,3.57833e+08,4.12344e+08,7,100,41669,0,0,0,0
806.894,288.273,525329,46100,3748,1.32951e+06,1.33842e+06,115425,101817,114524,124688,92625,83721,3.59797e+08,3.82891e+08,7,100,42352,0,0,0,0
807.076,288.574,525344,46833,3798,1.33543e+06,1.33802e+06,108054,102308,115054,116725,86710,84115.3,3.61417e+08,3.58593e+08,7,100,43035,0,0,0,0
803.569,282.84,525047,47784,4064,1.33325e+06,1.33325e+06,102667,102668,115159,115159,84277.5,84277.5,3.6124e+08,3.6124e+08,7.125,127,43720,0,0,0,0
803.795,283.204,525066,48517,4114,1.06334e+06,1.35616e+06,447120,79704,90636,483000,358800,65976,2.88831e+08,1.44738e+09,7,100,44403,0,0,0,0
804.014,283.557,525085,49250,4164,1.07309e+06,1.35551e+06,434970,80514,91511,469875,349050,66626,2.94477e+08,1.36269e+09,7,100,45086,0,0,0,0
804.226,283.906,525103,49983,4214,1.12054e+06,1.35235e+06,375840,84456,95769.3,406000,301600,69789.3,3.05494e+08,1.19743e+09,7,100,45769,0,0,0,0
804.432,284.239,525120,50716,4264,1.15937e+06,1.34976e+06,327442,87682.5,99254.8,353719,262762,72378.5,3.13454e+08,1.07804e+09,7,100,46452,0,0,0,0
804.633,284.569,525137,51449,4314,1.19477e+06,1.3474e+06,283338,90622.8,102431,306075,227370,74738,3.23223e+08,9.31498e+08,7,100,47135,0,0,0,0
804.828,284.886,525154,52182,4364,1.22519e+06,1.34537e+06,245430,93150,105161,265125,196950,76766,3.31371e+08,8.09282e+08,7,100,47818,0,0,0,0
805.017,285.194,525170,52915,4414,1.24914e+06,1.34377e+06,215576,95140.3,107311,232875,172993,78363.1,3.37846e+08,7.12154e+08,7,100,48501,0,0,0,0
805.202,285.498,525185,53648,4464,1.26906e+06,1.34244e+06,190755,96795,109098,206062,153075,79691,3.43357e+08,6.29486e+08,7,100,49184,0,0,0,0
805.381,285.793,525201,54381,4514,1.28282e+06,1.34153e+06,173610,97938,110333,187542,139317,80608.2,3.46927e+08,5.75943e+08,7,100,49867,0,0,0,0
805.556,286.081,525215,55114,4564,1.29461e+06,1.34074e+06,158922,98917.2,111391,171675,127530,81394,3.50217e+08,5.26588e+08,7,100,50550,0,0,0,0
805.725,286.358,525230,55847,4614,1.30567e+06,1.34e+06,145137,99836.2,112384,156784,116468,82131.5,3.5329e+08,4.80498e+08,7,100,51233,0,0,0,0
805.891,286.629,525244,56580,4664,1.31456e+06,1.33941e+06,134055,100575,113182,144812,107575,82724.3,3.55712e+08,4.4416e+08,7,100,51916,0,0,0,0
806.052,286.895,525258,57313,4714,1.32239e+06,1.33889e+06,124304,101225,113884,134279,99750,83246,3.57833e+08,4.12344e+08,7,100,52599,0,0,0,0
806.21,287.155,525271,58046,4764,1.32951e+06,1.33842e+06,115425,101817,114524,124688,92625,83721,3.59797e+08,3.82891e+08,7,100,53282,0,0,0,0
806.363,287.409,525284,58779,4814,1.33543e+06,1.33802e+06,108054,102308,115054,116725,86710,84115.3,3.61417e+08,3.58593e+08,7,100,53965,0,0,0,0
803.569,282.84,525047,59730,5080,1.33325e+06,1.33325e+06,102667,102668,115159,115159,84277.5,84277.5,3.6124e+08,3.6124e+08,7.125,127,54650,0,0,0,0
