Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Is Attacker
15,586.676,0.939199,395836,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,0
15,476.54,1.20576,565725,8,0,0,0.0,0.0,0.002,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0
15,582.884,0.78156,430499,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4305895,0,0,0,15,0,0
15,574.253,1.10402,579203,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0
15,479.331,0.988748,525864,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5785497,0,0,0,15,0,0
15,428.162,1.17021,598481,15,0,0,0.0,0.0,0.002,0,27300,25480,0,2268,2450,0,0,1820,8379989,0,0,0,15,0,0
15,452.134,1.04438,651425,13,0,0,0.0,0.0,0.002,0,23400,21840,0,1944,2100,0,0,1560,7818175,0,0,0,15,0,0
15,283.042,0.872961,477269,18,0,0,0.0,0.0,0.002,0,33150,30940,0,2754,2975,0,0,2210,8115108,0,0,0,15,0,0
15,530.996,0.935917,421923,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,4642139,0,0,0,15,0,0
15,930.779,1.40839,603763,7,0,0,0.0,0.0,0.002,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,15,0,0
15,348.318,1.01579,610693,18,0,0,0.0,0.0,0.002,0,33150,30940,0,2754,2975,0,0,2210,10383309,0,0,0,15,0,0
15,499.307,0.946889,430958,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,3879433,0,0,0,15,0,0
15,518.305,0.997352,519715,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5717850,0,0,0,15,0,0
15,742.033,0.824112,507091,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,4057451,0,0,0,15,0,0
15,624.082,1.04635,567459,7,0,0,0.0,0.0,0.002,0,11700,10920,0,972,1050,0,0,780,3405294,0,0,0,15,0,0
15,609.617,1.15562,441681,7,0,0,0.0,0.0,0.002,0,11700,10920,0,972,1050,0,0,780,2650625,0,0,0,15,0,0
15,835.058,1.29633,690843,8,0,0,0.0,0.0,0.002,0,13650,12740,0,1134,1225,0,0,910,4836528,0,0,0,15,0,0
15,590.98,1.14861,449659,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,3597993,0,0,0,15,0,0
15,581.01,1.42313,789442,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,7105784,0,0,0,15,0,0
15,664.752,0.937498,513011,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,4617908,0,0,0,15,0,0
15,554.431,0.68474,412685,8,0,0,0.0,0.0,0.002,0,13780,12740,0,1296,1225,0,0,1040,2889425,0,0,0,15,0,0
15,469.214,1.04823,598137,13,0,0,0.0,0.0,0.002,0,23400,21840,0,1944,2100,0,0,1560,7178725,0,0,0,15,0,0
15,461.356,1.09567,389327,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5062423,0,0,0,15,0,0
15,471.961,1.27738,584773,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,6433491,0,0,0,15,0,0
15,582.733,0.983031,580323,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5804125,0,0,0,15,0,0
15,432.234,1.11271,445143,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5788024,0,0,0,15,0,0
15,370.115,1.08925,610082,16,0,0,0.0,0.0,0.002,0,29250,27300,0,2430,2625,0,0,1950,9152583,0,0,0,15,0,0
15,457.985,1.04671,569380,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,7403110,0,0,0,15,0,0
15,484.815,0.801694,360376,13,0,1,886.266,269471.0,0.002,0,21450,21970,2430,1782,1925,2625,1950,1430,4056036,4043415,0,0,15,0,0
15,572.437,1.16893,646172,11,0,1,4942.9,716729.0,0.002,0,17550,18330,2430,1458,1575,2625,1950,1170,5745802,10752285,0,0,15,0,0
15,504.938,1.13042,457856,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5037403,0,0,0,15,0,0
15,606.618,0.699688,389539,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,3506657,0,0,0,15,0,0
15,459.785,0.879785,411055,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5344888,0,0,0,15,0,0
15,533.935,1.1098,606000,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,6666992,0,0,0,15,0,0
15,483.546,0.856668,407391,13,0,0,0.0,0.0,0.002,0,23400,21840,0,1944,2100,0,0,1560,4889770,0,0,0,15,0,0
15,590.859,0.935279,509506,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5095956,0,0,0,15,0,0
15,531.996,0.890849,509570,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5606258,0,0,0,15,0,0
15,580.148,1.30296,594149,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5942387,0,0,0,15,0,0
