Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node,Label
767.931,195.592,534915,778,47,1390890,109046,121214,89025,384264000,8,94,731,212.294,212.551,212.617,199.183,2781790,218092,242428,178050,768529000,993.499,771949000,1
805.187,595.084,523363,743,81,1330340,97655.6,112251,81369.4,359812000,11,163.125,662,643.659,644.054,644.128,603.652,2660690,195311,224501,162739,719623000,974.214,722867000,1
777.534,444.909,527578,771,85,1379970,102212,116945,84924.4,376407000,7.1875,170.75,686,481.747,482.076,482.248,451.852,2759940,204424,233889,169849,752813000,982.054,756181000,1
835.951,424.89,519049,715,71,1275520,96136.9,109015,79441.9,342015000,8,142.375,644,461.6,461.978,462.02,432.939,2551050,192274,218031,158884,684030000,962.396,687151000,1
796.16,300.615,508738,753,67,1346050,103731,116307,85130.6,353088000,7.125,134.5,686,326.229,326.501,326.604,305.989,2692100,207461,232614,170261,706176000,943.456,709479000,1
759.177,461.954,532354,790,89,1412260,103882,119281,86501.2,388521000,8,178.5,701,500.3,500.679,500.764,469.221,2824520,207765,238562,173002,777043000,989.21,780486000,1
795.788,197.8,550899,753,41,1347810,106768,118070,86893.1,382953000,6.0625,83.875,712,214.815,215.014,215.06,201.515,2695620,213536,236139,173786,765906000,1022.91,769225000,1
780.796,422.905,528119,766,77,1367790,102212,116413,84688.1,373147000,7.125,154.5,689,458.82,459.22,459.269,430.339,2735580,204424,232826,169376,746294000,979.916,749636000,1
830.537,320.66,549057,723,58,1289550,99326.2,111397,81528.8,365866000,6.0625,116.125,665,348.617,348.966,349.028,327.01,2579110,198652,222795,163058,731732000,1017.86,734895000,1
792.032,196.381,522566,758,49,1353540,104642,117140,85794.4,364853000,6.1875,98,709,213.225,213.534,213.556,200.067,2707080,209284,234279,171589,729706000,968.333,733028000,1
816.479,480.236,528404,734,74,1311640,98415,111856,81438.8,358449000,11,148.625,660,520.737,521.18,521.209,488.418,2623290,196830,223712,162878,716898000,982.408,720105000,1
799.234,481.607,484144,750,76,1338800,100237,114052,83002.5,334630000,8,152.75,674,522.929,523.24,523.312,490.42,2677600,200475,228105,166005,669259000,897.906,672532000,1
763.969,271.203,529385,785,57,1402720,108439,121393,88908.8,383262000,7.1875,114.875,728,294.5,294.804,294.821,276.272,2805440,216878,242786,177818,766524000,982.101,769967000,1
853.649,295.18,512707,703,49,1255350,97351.9,108809,79741.9,331304000,6.25,99,654,320.87,321.128,321.159,300.946,2510700,194704,217618,159484,662608000,948.277,665690000,1
766.471,532.09,516325,783,86,1399200,102364,117868,85383.8,373510000,11,173,697,576.521,576.989,577.029,540.709,2798390,204728,235736,170768,747019000,959.627,750429000,1
889.045,201.868,524168,674,39,1202000,95377.5,105385,77583.8,324801000,7,79.125,635,219.911,220.15,220.211,206.311,2404010,190755,210771,155168,649602000,969.633,652563000,1
721.013,316.984,533647,833,80,1488620,112539,127417,92908.1,410557000,8.125,160.25,753,343.731,344.109,344.159,322.443,2977240,225079,254835,185816,821114000,991.295,824757000,1
783.707,466.981,495498,766,75,1369880,102819,116842,85074.4,349952000,8,151,691,506.143,506.546,506.575,474.715,2739760,205639,233683,170149,699903000,919.284,703253000,1
779.109,252.589,531427,770,50,1380960,106920,119601,87622.5,378538000,6.1875,101.062,720,273.36,273.632,273.662,256.429,2761920,213840,239201,175245,757076000,988.902,760466000,1
845.912,125.916,525413,710,36,1268430,101908,111908,82588.1,343202000,6.0625,71.9375,674,136.854,137.112,137.144,128.439,2536860,203816,223817,165176,686404000,972.545,689534000,1
781.261,401.022,542916,768,76,1373270,102668,116905,85053.8,385224000,9,153.188,692,434.656,435.07,435.111,407.711,2746540,205335,233811,170108,770447000,1008.87,773803000,1
762.892,379.645,506590,786,66,1404970,106312,120311,87742.5,367781000,6,132.5,720,411.683,411.967,412.116,386.144,2809940,212625,240622,175485,735562000,941.402,739001000,1
760.615,227.597,515358,787,46,1408910,110109,122590,89979.4,374957000,6.125,92.4375,741,246.783,247.037,247.12,231.504,2817820,220219,245181,179959,749914000,958.496,753378000,1
781.97,195.631,506251,765,55,1365480,107224,119093,87495,356793000,7.0625,110.562,710,212.778,212.996,213.074,199.632,2730950,214448,238187,174990,713587000,938.41,716945000,1
768.822,384.324,522506,780,79,1394770,103731,118433,86075.6,376614000,6.0625,158.75,701,416.324,416.718,416.749,390.509,2789540,207461,236867,172151,753227000,971.288,756633000,1
820.596,445.289,529899,731,71,1307370,97048.1,110911,80578.1,357658000,8.125,142.25,660,482.108,482.423,482.487,452.162,2614740,194096,221822,161156,715317000,984.258,718509000,1
755.236,339.743,527666,793,67,1421680,108135,122052,89103.7,387507000,8,135.75,726,367.667,367.992,368.142,344.894,2843370,216270,244104,178207,775015000,982.951,778497000,1
772.813,441.677,521886,776,84,1388070,104186,118394,86205,374154000,9,169.75,692,478.84,479.234,479.289,449.112,2776150,208372,236788,172410,748308000,969.937,751701000,1
803.726,285.911,511759,746,53,1333780,103579,115688,84806.2,352090000,7.1875,106,693,310.26,310.521,310.627,291.022,2667560,207158,231375,169612,704180000,949.606,707456000,1
848.934,221.753,528085,707,42,1264400,97959.4,109541,80263.1,344777000,7.0625,85.375,665,240.687,240.975,241.022,225.792,2528800,195919,219083,160526,689553000,981.101,692657000,1
750.191,298.105,515166,800,74,1428470,107831,122180,89062.5,380440000,8,148.125,726,323.472,323.81,323.826,303.43,2856940,215662,244359,178125,760880000,956.665,764375000,1
790.411,313.879,526586,758,54,1359550,106009,118161,86688.7,368916000,6.125,108.875,704,339.741,340.03,340.054,318.677,2719100,212018,236321,173378,737833000,979.093,741174000,1
762.895,202.504,523058,786,55,1405700,110565,122703,90176.3,378585000,7.125,110,731,219.743,220.042,220.087,206.167,2811390,221130,245406,180352,757170000,968.953,760628000,1
825.606,278.62,534217,727,52,1296780,99781.9,111966,81928.1,357828000,7.1875,105.875,675,302.852,303.127,303.18,284.081,2593560,199564,223931,163856,715656000,990.133,718837000,1
786.259,399.759,543642,763,81,1364220,102060,116173,84532.5,382695000,11,162.562,682,433.198,433.599,433.627,406.338,2728440,204120,232346,169065,765391000,1008.83,768725000,1
804.362,317.055,519520,746,60,1334200,101301,114442,83518.1,357904000,6.1875,121.75,686,343.936,344.273,344.315,322.608,2668400,202601,228883,167036,715808000,965.201,719075000,1
788.268,475.893,538097,762,86,1359860,100541,115140,83583.8,378124000,7.1875,171,676,516.173,516.633,516.742,484.145,2719720,201083,230280,167168,756248000,998.115,759566000,1
785.009,321.462,517161,762,63,1361970,104186,117255,85698.8,363699000,7.125,126.75,699,348.843,349.115,349.154,327.194,2723950,208372,234510,171398,727398000,960.232,730736000,1
815.92,288.428,505442,735,49,1316210,103275,114752,84292.5,342550000,8.0625,99.875,686,313,313.243,313.301,293.58,2632410,206550,229504,168585,685099000,937.788,688336000,1
756.746,360.384,520566,792,78,1415940,107224,121296,88473.8,379878000,8,156.5,714,390.773,391.064,391.143,366.505,2831870,214448,242591,176948,759755000,964.881,763221000,1
787.027,454.775,537893,761,79,1361950,101149,115568,83970,378863000,8,159.625,682,492.51,492.899,492.977,461.931,2723900,202298,231137,167940,757727000,1001.38,761052000,1
751.696,565.192,523515,799,94,1428090,104186,120141,86981.3,386638000,10,188.25,705,611.904,612.378,612.423,573.893,2856190,208372,240281,173963,773275000,973.376,776754000,1
732.797,578.14,543394,817,109,1461590,104946,122024,88063.1,410777000,9.1875,219.125,708,625.239,625.729,625.853,586.427,2923190,209891,244048,176126,821554000,1011.16,825107000,1
728.113,418.251,531169,824,91,1475800,108439,124583,90326.3,405336000,7,183.875,733,452.465,452.835,452.894,424.385,2951600,216878,249165,180652,810672000,989.392,814270000,1
786.253,424.758,525438,763,80,1363510,100845,115468,83827.5,370151000,10,161.5,683,460.552,461.019,461.047,431.996,2727030,201690,230936,167655,740302000,975.891,743629000,1
745.131,413.137,494480,804,89,1436020,105857,121414,88085.6,366988000,8.0625,179,715,447.982,448.344,448.424,420.18,2872050,211714,242828,176171,733976000,918.404,737479000,1
806.074,338.138,508556,744,63,1330370,100693,113937,83098.1,349318000,8.0625,127.688,681,366.84,367.196,367.214,344.106,2660730,201386,227874,166196,698636000,944.674,701893000,1
796.685,456.956,536198,752,70,1343690,102668,115614,84480,371656000,9,141.75,682,496.351,496.698,496.744,465.526,2687380,205335,231229,168960,743312000,994.148,746605000,1
777.005,357.117,503872,768,74,1372410,104186,117711,85901.2,356906000,8,148.125,694,387.318,387.57,387.724,363.287,2744830,208373,235421,171802,713811000,935.035,717172000,1
804.783,238.687,537262,746,58,1333690,103427,115599,84718.1,369988000,7.25,116.875,688,259.097,259.361,259.451,243.053,2667390,206854,231199,169436,739976000,997.652,743251000,1
785.319,405.474,520927,764,67,1366140,102364,116425,84742.5,367849000,9,135.625,697,439.64,440.002,440.084,412.374,2732270,204727,232851,169485,735698000,968.594,739037000,1
767.931,195.592,534915,778,47,1390890,109046,121214,89025,384264000,8,94,731,212.294,212.551,212.617,199.183,2781790,218092,242428,178050,768529000,993.499,771949000,1
805.187,595.084,523363,743,81,1330340,97655.6,112251,81369.4,359812000,11,163.125,662,643.659,644.054,644.128,603.652,2660690,195311,224501,162739,719623000,974.214,722867000,1
777.534,444.909,527578,771,85,1379970,102212,116945,84924.4,376407000,7.1875,170.75,686,481.747,482.076,482.248,451.852,2759940,204424,233889,169849,752813000,982.054,756181000,1
835.951,424.89,519049,715,71,1275520,96136.9,109015,79441.9,342015000,8,142.375,644,461.6,461.978,462.02,432.939,2551050,192274,218031,158884,684030000,962.396,687151000,1
796.16,300.615,508738,753,67,1346050,103731,116307,85130.6,353088000,7.125,134.5,686,326.229,326.501,326.604,305.989,2692100,207461,232614,170261,706176000,943.456,709479000,1
759.177,461.954,532354,790,89,1412260,103882,119281,86501.2,388521000,8,178.5,701,500.3,500.679,500.764,469.221,2824520,207765,238562,173002,777043000,989.21,780486000,1
761.217,309.242,544183,788,65,1410450,106768,120803,88108.1,396624000,6.0625,131.25,723,335.047,335.331,335.384,314.265,2820900,213536,241607,176216,793248000,1012.33,796700000,1
776.488,453.375,520249,770,78,1374570,101908,116541,84646.9,369845000,7.125,157.75,692,491.679,492.119,492.161,461.153,2749140,203816,233081,169294,739690000,966.249,743045000,1
819.718,337.636,505029,732,68,1308250,98566.9,111792,81459.4,341559000,9,137.625,664,366.328,366.697,366.77,343.635,2616510,197134,223584,162919,683118000,938.876,686318000,1
744.625,352.143,538811,806,78,1441180,108742,123240,89827.5,401194000,8.0625,156.438,728,381.73,381.967,382.031,358.018,2882350,217485,246480,179655,802389000,1001.14,805915000,1
803.569,265.013,532586,747,60,1336910,102971,115487,84521.3,367521000,7.0625,120.875,687,287.286,287.602,287.655,269.489,2673820,205942,230974,169042,735041000,989.706,738321000,1
740.991,554.404,508703,810,108,1448620,103579,120699,87033.7,381221000,9,216.375,702,599.358,599.832,599.962,562.16,2897240,207158,241399,174068,762443000,946.802,765963000,1
753.212,287.435,514001,797,67,1423690,108591,122392,89401.9,377645000,7.0625,134.375,730,311.97,312.28,312.297,292.634,2847380,217181,244785,178804,755290000,953.239,758778000,1
753.297,232.641,536471,797,60,1421620,111021,123651,90744.4,393972000,7.1875,120.438,737,253.117,253.418,253.498,237.472,2843240,222041,247301,181489,787945000,994.27,791439000,1
787.181,474.987,514111,762,83,1362990,99933.8,114939,83298.8,362500000,8.1875,167.875,679,514.48,514.868,514.962,482.53,2725970,199867,229879,166598,725001000,957.06,728323000,1
798.314,326.587,531248,749,64,1340980,100997,114569,83476.9,367877000,6.125,128.938,685,353.606,353.952,353.957,331.696,2681970,201994,229138,166954,735755000,988.015,739035000,1
849.871,128.638,519778,706,35,1260940,100997,111076,81924.4,337907000,8.125,71.0625,671,139.946,140.149,140.213,131.335,2521890,201994,222152,163849,675813000,963.011,678923000,1
817.25,287.467,523308,734,44,1312370,102668,114247,83872.5,354421000,8,89.625,690,312.325,312.575,312.698,292.965,2624740,205335,228495,167745,708843000,971.445,712069000,1
797.349,601.708,535380,753,97,1344090,97351.9,112682,81463.1,372544000,9,194.312,656,652.137,652.538,652.628,611.597,2688180,194704,225364,162926,745088000,995.159,748359000,1
803.66,311.739,521269,745,60,1332720,101756,114630,83748.8,358422000,7.0625,121.375,685,338.107,338.402,338.471,317.153,2665450,203512,229260,167498,716844000,967.889,720109000,1
732.945,582.511,506861,818,109,1463160,104642,121924,87920.6,383644000,8,218.5,709,630.126,630.556,630.642,590.985,2926320,209284,243848,175841,767288000,943.505,770844000,1
787.394,368.464,541816,762,68,1363630,104034,117243,85644.4,381584000,9,137.25,694,399.43,399.78,399.827,374.659,2727250,208069,234486,171289,763169000,1007.24,766510000,1
774.161,486.15,526855,774,97,1384480,100997,116467,84320.6,377586000,9,194.875,677,526.066,526.46,526.669,493.43,2768970,201994,232935,168641,755172000,981.3,758545000,1
778.403,266.959,518725,770,58,1374950,105553,118580,86728.1,368531000,6.0625,117.188,712,290.074,290.436,290.446,272.115,2749890,211106,237159,173456,737062000,962.853,740434000,1
749.666,365.821,495943,800,81,1431160,106464,121538,88336.9,366485000,13,163.875,719,396.405,396.735,396.869,371.82,2862310,212929,243077,176674,732969000,921.732,736464000,1
762.901,484.519,527758,786,86,1406180,105401,119858,87247.5,383754000,10,173.5,700,525.23,525.558,525.633,492.571,2812360,210802,239717,174495,767508000,982.095,770945000,1
783.946,324.658,532384,763,72,1364570,102668,116526,84885,375395000,7,144.75,691,351.863,352.245,352.284,330.08,2729140,205335,233051,169770,750789000,989.667,754126000,1
792.779,472.365,531795,754,63,1348740,102364,115666,84405,370282000,10,127.875,691,512.413,512.803,512.838,480.592,2697470,204727,231332,168810,740565000,987.871,743867000,1
833.031,233.449,535320,721,48,1288250,100086,111762,81935.6,356142000,6.1875,95,673,253.414,253.693,253.735,237.726,2576510,200171,223524,163871,712285000,993.679,715449000,1
801.356,148.996,545006,749,40,1337370,106768,117614,86690.6,375432000,6.25,80.25,709,162.044,162.289,162.321,152.056,2674740,213536,235228,173381,750864000,1008.24,754161000,1
812.659,380,535202,736,73,1315210,98566.9,112096,81594.4,364041000,7.0625,146.875,663,412.129,412.535,412.571,386.586,2630430,197134,224192,163189,728082000,994.961,731297000,1
761.968,328.902,546791,787,60,1408980,107224,120992,88338.8,397731000,8,121.75,727,356.473,356.804,356.855,334.358,2817950,214448,241984,176678,795461000,1016.43,798912000,1
805.344,239.1,522660,744,52,1330300,103579,115536,84738.8,358630000,6.1875,105.625,692,259.703,259.988,260.059,243.63,2660600,207158,231071,169478,717259000,969.755,720528000,1
828.589,227.542,548020,723,51,1291650,99933.8,111826,81915,365791000,9,103.875,672,247.294,247.579,247.631,232,2583290,199868,223652,163830,731582000,1017.66,734752000,1
791.342,439.095,510810,757,80,1351420,100997,115025,83679.4,356186000,8.1875,160.875,677,476.688,477.085,477.105,447.091,2702850,201994,230049,167359,712372000,946.659,715674000,1
848.965,180.09,522868,707,34,1265550,99933.8,110687,81408.8,341163000,6.125,69.125,673,195.433,195.635,195.658,183.335,2531090,199868,221374,162818,682326000,970.88,685441000,1
873.575,324.588,500123,686,51,1224270,94770,106020,77670,315930000,10.25,103.5,635,353.119,353.426,353.464,331.21,2448540,189540,212040,155340,631860000,926.811,634865000,1
765.745,567.867,507843,779,96,1393180,100997,116847,84489.4,365806000,10,193.875,683,614.206,614.689,614.819,576.086,2786370,201994,233694,168979,731613000,944.735,735004000,1
