Mean Block Receive Time_x,Mean Block Propagation Time_x,Mean Block Size_x,Total Blocks_x,Stale Blocks_x,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork_x,Blocks in Forks_x,Connections,Mined Blocks in Main Chain_x,Is Attacker,Iteration,Mean Block Receive Time_y,Mean Block Propagation Time_y,Mean Block Size_y,Total Blocks_y,Stale Blocks_y,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork_y,Blocks in Forks_y,Mined Blocks in Main Chain_y,Fork Height,Fork Length,Block Interval,Time Interval,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node,Label
574.252,0.894457,579203,11,0,0,0,0,0.012,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.231,0.761159,579203,11,0,0,0,0,0.009,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.252,0.931393,579203,11,0,0,0,0,0.005,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.252,0.913853,579203,11,0,0,0,0,0.005,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.251,0.794781,579203,11,0,0,0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
574.253,1.10402,579203,11,0,0,0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0,3,574.231,0.790499,579203,11,0,18281.3,1518.75,1640.62,1218.75,5430870,0,0,11,0,0,0,0,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100,0
479.39,0.531648,525864,12,0,3,693.784,471574,0.289,0,15600,20410,7290,1296,1400,7875,5850,1040,4370506,21224865,0,0,15,0,0,4,479.342,0.757009,525864,12,0,20109.4,1670.63,1804.69,1340.62,5423900,0,0,12,0,0,0,0,0.66929,0.897063,0.935389,0.757009,40218.8,3341.25,3609.37,2681.25,10847800,990.696,10897700,0
479.375,0.533762,525864,12,0,3,1079.68,535532,0.196,0,15600,20410,7290,1296,1400,7875,5850,1040,4178632,24102975,0,0,15,0,0,4,479.342,0.757009,525864,12,0,20109.4,1670.63,1804.69,1340.62,5423900,0,0,12,0,0,0,0,0.66929,0.897063,0.935389,0.757009,40218.8,3341.25,3609.37,2681.25,10847800,990.696,10897700,0
479.38,0.604841,525864,12,0,1,810.692,746870,0.159,0,19500,20150,2430,1620,1750,2625,1950,1300,5038537,11204400,0,0,15,0,0,4,479.342,0.757009,525864,12,0,20109.4,1670.63,1804.69,1340.62,5423900,0,0,12,0,0,0,0,0.66929,0.897063,0.935389,0.757009,40218.8,3341.25,3609.37,2681.25,10847800,990.696,10897700,0
479.36,0.738152,525864,12,0,1,1962.78,933005,0.133,0,19500,20150,2430,1620,1750,2625,1950,1300,4852402,13996425,0,0,15,0,0,4,479.342,0.757009,525864,12,0,20109.4,1670.63,1804.69,1340.62,5423900,0,0,12,0,0,0,0,0.66929,0.897063,0.935389,0.757009,40218.8,3341.25,3609.37,2681.25,10847800,990.696,10897700,0
479.385,0.634803,525864,12,0,0,0,0,0.066,0,21450,20020,0,1782,1925,0,0,1430,5785497,0,0,0,15,0,0,4,479.342,0.757009,525864,12,0,20109.4,1670.63,1804.69,1340.62,5423900,0,0,12,0,0,0,0,0.66929,0.897063,0.935389,0.757009,40218.8,3341.25,3609.37,2681.25,10847800,990.696,10897700,0
479.321,0.851812,525864,12,0,0,0,0,0.054,0,21450,20020,0,1782,1925,0,0,1430,5785497,0,0,0,15,0,0,4,479.342,0.757009,525864,12,0,20109.4,1670.63,1804.69,1340.62,5423900,0,0,12,0,0,0,0,0.66929,0.897063,0.935389,0.757009,40218.8,3341.25,3609.37,2681.25,10847800,990.696,10897700,0
479.297,0.696764,525864,12,0,0,0,0,0.029,0,21450,20020,0,1782,1925,0,0,1430,5785497,0,0,0,15,0,0,4,479.342,0.757009,525864,12,0,20109.4,1670.63,1804.69,1340.62,5423900,0,0,12,0,0,0,0,0.66929,0.897063,0.935389,0.757009,40218.8,3341.25,3609.37,2681.25,10847800,990.696,10897700,0
