Mean Block Receive Time_x,Mean Block Size,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Total average traffic/node,Label
580.142,594149,0.805766,1.22612,1.30296,1118.73,0
863.022,526650,136.854,137.112,137.144,972.545,1
370.049,610082,0.652792,0.991517,1.00107,1148.6,0
844.879,550237,247.294,247.579,247.631,1017.66,1
738.796,532382,452.465,452.835,452.894,989.392,1
805.69,511268,476.688,477.085,477.105,946.659,1
455.95,628259,0.756426,1.08716,1.18883,1182.69,0
817.863,546245,162.044,162.289,162.321,1008.24,1
621.305,520905,0.650614,0.787116,0.832724,981.397,0
757.084,540248,381.73,381.967,382.031,1001.14,1
757.899,495432,447.982,448.344,448.424,918.404,1
741.903,507091,0.659584,0.728282,0.774308,955.497,0
1153.65,495276,0.661018,0.818773,0.848512,933.342,0
454.585,471388,0.738834,0.949851,0.982396,888.553,0
781.983,537113,212.294,212.551,212.617,993.499,1
763.664,516865,323.472,323.81,323.826,956.665,1
580.124,594149,0.805766,1.22612,1.30296,1118.73,0
844.879,550237,247.294,247.579,247.631,1017.66,1
415.737,467254,0.650265,0.994336,1.07234,880.802,0
582.602,580323,0.669102,0.874683,0.951539,1092.81,0
586.072,436013,0.769523,1.03616,1.06439,822.224,0
757.084,540248,381.73,381.967,382.031,1001.14,1
789.682,528906,481.747,482.076,482.248,982.054,1
370.097,610082,0.652792,0.991517,1.00107,1148.6,0
820.374,509639,366.84,367.196,367.214,944.674,1
806.999,523707,213.225,213.534,213.556,968.333,1
763.665,516865,323.472,323.81,323.826,956.665,1
725.076,643812,0.82566,0.978922,1.03866,1211.85,0
471.858,584773,0.816755,1.12341,1.17176,1101.15,0
429.022,485281,0.715496,1.02715,1.07542,914.602,0
761.997,496638,396.405,396.735,396.869,921.732,1
769.658,520744,390.773,391.064,391.143,964.881,1
441.295,618543,0.680853,0.894507,0.949629,1164.47,0
816.818,524237,643.659,644.054,644.128,974.214,1
567.335,468419,0.689497,0.991239,1.07558,882.987,0
471.95,584773,0.816755,1.12341,1.17176,1101.15,0
798.721,522386,439.64,440.002,440.084,968.594,1
615.551,516198,0.669203,1.01048,1.07695,972.571,0
830.403,530218,520.737,521.18,521.209,982.408,1
830.521,505990,313,313.243,313.301,937.788,1
820.373,509639,366.84,367.196,367.214,944.674,1
864.307,524277,195.433,195.635,195.658,970.88,1
743.344,544223,625.239,625.729,625.853,1011.16,1
771.126,533283,500.3,500.679,500.764,989.21,1
479.292,525864,0.66929,0.897063,0.935389,990.696,0
766.877,515035,311.97,312.28,312.297,953.239,1
797.903,508032,212.778,212.996,213.074,938.41,1
494.295,358722,0.593446,0.914479,0.934888,677.304,0
660.497,724237,0.765763,0.862735,0.988143,1362.64,0
806.479,532938,512.413,512.803,512.838,987.871,1
927.884,622630,0.789483,1.03517,1.15893,1172.13,0
499.307,430958,0.637869,0.84837,0.943721,812.747,0
867.768,521525,139.946,140.149,140.213,963.011,1
582.654,580323,0.669102,0.874683,0.951539,1092.81,0
785.786,528476,526.066,526.46,526.669,981.3,1
773.616,545810,335.047,335.331,335.384,1012.33,1
775.737,714262,0.799863,1.27706,1.39159,1343.94,0
835.058,690843,0.793949,1.12165,1.18168,1300.03,0
763.323,524621,611.904,612.378,612.423,973.376,1
283.047,477269,0.69017,0.784473,0.861041,899.581,0
796.874,533813,351.863,352.245,352.284,989.667,1
621.226,520905,0.650614,0.787116,0.832724,981.397,0
505.008,457856,0.692586,0.994509,1.03875,863.18,0
452.12,651425,0.694293,0.844065,0.962721,1226.12,0
572.388,646172,0.767907,1.0625,1.16703,1216.27,0
781.983,537113,212.294,212.551,212.617,993.499,1
633.532,507240,526.066,526.46,526.669,981.3,1
794.56,529206,458.82,459.22,459.269,979.916,1
1153.66,495276,0.661018,0.818773,0.848512,933.342,0
348.296,610693,0.665086,0.877091,0.925295,1149.75,0
452.908,565624,0.608292,0.908287,1.00163,1065.25,0
769.658,520744,390.773,391.064,391.143,964.881,1
750.441,463760,0.726917,1.01247,1.05379,874.251,0
751.396,509492,599.358,599.832,599.962,946.802,1
532.031,509570,0.666501,0.749411,0.835956,960.144,0
554.532,412685,0.592206,0.68474,0.740479,851.205,0
743.624,507641,630.126,630.556,630.642,943.505,1
515.108,551064,0.660473,0.755272,0.801273,1037.94,0
517.034,590575,0.712741,0.805857,0.877225,1112.03,0
819.566,539061,259.097,259.361,259.451,997.652,1
785.88,522982,478.84,479.234,479.289,969.937,1
769.013,538681,253.117,253.418,253.498,994.27,1
776.792,523681,219.743,220.042,220.087,968.953,1
722.67,662333,0.797023,0.997639,1.11507,1246.57,0
586.291,575478,0.697807,0.78886,0.887863,1083.72,0
775.612,529463,525.23,525.558,525.633,982.095,1
789.682,528906,481.747,482.076,482.248,982.054,1
372.085,537918,0.708862,0.978361,1.0427,1013.3,0
585.972,436013,0.769523,1.03616,1.06439,822.224,0
908.683,525642,219.911,220.15,220.211,969.633,1
637.162,497774,514.48,514.868,514.962,957.06,1
609.577,441681,0.660366,1.03343,1.104,832.852,0
813.853,484890,522.929,523.24,523.312,897.906,1
851.697,520341,461.6,461.978,462.02,962.396,1
733.469,535282,343.731,344.109,344.159,991.295,1
820.372,509639,366.84,367.196,367.214,944.674,1
585.885,605493,0.749669,1.03024,1.17849,1140,0
793.468,520579,290.074,290.436,290.446,962.853,1
773.615,545810,335.047,335.331,335.384,1012.33,1
928.016,622630,0.789483,1.03517,1.15893,1172.13,0
864.306,524277,195.433,195.635,195.658,970.88,1
820.373,509639,366.84,367.196,367.214,944.674,1
775.587,714262,0.799863,1.27706,1.39159,1343.94,0
590.775,509506,0.686305,0.829621,0.867383,960.024,0
1267.47,585971,0.804439,1.2282,1.27143,1103.4,0
757.899,495432,447.982,448.344,448.424,918.404,1
851.697,520341,461.6,461.978,462.02,962.396,1
531.074,421923,0.613007,0.833959,0.881533,795.806,0
476.402,565725,0.800122,1.04929,1.14366,1065.44,0
554.435,412685,0.592206,0.68474,0.740479,851.205,0
794.561,529206,458.82,459.22,459.269,979.916,1
586.029,436013,0.769523,1.03616,1.06439,822.224,0
799.726,515477,514.48,514.868,514.962,957.06,1
372.145,537918,0.708862,0.978361,1.0427,1013.3,0
583.032,657387,0.724818,0.967011,1.0161,1237.3,0
773.617,545810,335.047,335.331,335.384,1012.33,1
469.173,598137,0.664209,0.971515,0.990242,1126.21,0
1267.57,585971,0.804439,1.2282,1.27143,1103.4,0
851.698,520341,461.6,461.978,462.02,962.396,1
490.671,625827,0.801176,1.15063,1.24127,1178.13,0
796.746,495645,506.143,506.546,506.575,919.284,1
775.987,508079,411.683,411.967,412.116,941.402,1
457.975,569380,0.738814,0.998428,1.04671,1072.29,0
533.21,360644,0.66221,0.85636,0.914912,680.909,0
743.345,544223,625.239,625.729,625.853,1011.16,1
471.952,584773,0.816755,1.12341,1.17176,1101.15,0
833.265,530521,482.108,482.423,482.487,984.258,1
826.598,537001,412.129,412.535,412.571,994.961,1
810.524,536923,652.137,652.538,652.628,995.159,1
517.618,475198,0.762012,1.05922,1.13596,895.697,0
348.292,610693,0.665086,0.877091,0.925295,1149.75,0
412.746,414190,0.722448,1.00162,1.06269,781.306,0
461.346,389327,0.68801,1.0007,1.03476,734.689,0
830.402,530218,520.737,521.18,521.209,982.408,1
811.679,537090,496.351,496.698,496.744,994.148,1
1115.98,329200,0.67022,0.930045,0.971915,621.95,0
741.995,507091,0.659584,0.728282,0.774308,955.497,0
722.574,662333,0.797023,0.997639,1.11507,1246.57,0
606.618,389539,0.596539,0.702816,0.749286,735.085,0
781.982,537113,212.294,212.551,212.617,993.499,1
818.497,520742,343.936,344.273,344.315,965.201,1
813.853,484890,522.929,523.24,523.312,897.906,1
690.333,454083,0.666985,0.870523,0.93077,856.106,0
847.048,551127,348.617,348.966,349.028,1017.86,1
797.902,508032,212.778,212.996,213.074,938.41,1
870.378,512820,320.87,321.128,321.159,948.277,1
794.56,529206,458.82,459.22,459.269,979.916,1
432.183,445143,0.759372,0.971695,1.06264,839.343,0
585.933,605493,0.749669,1.03024,1.17849,1140,0
585.979,436013,0.769523,1.03616,1.06439,822.224,0
542.997,457373,0.765354,0.982364,1.01682,862.276,0
582.899,430499,0.631353,0.708518,0.761349,811.887,0
615.563,732029,0.814196,1.08375,1.18895,1377.25,0
908.682,525642,219.911,220.15,220.211,969.633,1
615.556,516198,0.669203,1.01048,1.07695,972.571,0
818.497,520742,343.936,344.273,344.315,965.201,1
423.222,392321,0.663345,0.95889,0.981899,740.302,0
1115.98,329200,0.67022,0.930045,0.971915,621.95,0
428.162,598481,0.776426,1.02503,1.04553,1126.85,0
766.877,515035,311.97,312.28,312.297,953.239,1
582.991,657387,0.724818,0.967011,1.0161,1237.3,0
830.403,530218,520.737,521.18,521.209,982.408,1
799.31,539467,492.51,492.899,492.977,1001.38,1
757.898,495432,447.982,448.344,448.424,918.404,1
813.853,484890,522.929,523.24,523.312,897.906,1
747.151,772806,0.647971,1.17288,1.20052,1453.71,0
582.904,430499,0.631353,0.708518,0.761349,811.887,0
596.009,455996,0.636667,0.799201,0.827051,859.692,0
798.885,518561,348.843,349.115,349.154,960.232,1
991.717,628726,0.68318,0.869062,0.878572,1183.56,0
693.893,366198,0.668537,0.895589,0.927563,691.321,0
835.053,690843,0.793949,1.12165,1.18168,1300.03,0
811.68,537090,496.351,496.698,496.744,994.148,1
799.238,544197,433.198,433.599,433.627,1008.83,1
841.869,535989,302.852,303.127,303.18,990.133,1
830.52,505990,313,313.243,313.301,937.788,1
798.721,522386,439.64,440.002,440.084,968.594,1
738.796,532382,452.465,452.835,452.894,989.392,1
775.612,529463,525.23,525.558,525.633,982.095,1
835.001,690843,0.793949,1.12165,1.18168,1300.03,0
616.736,509584,367.667,367.992,368.142,982.951,1
800.659,543340,399.43,399.78,399.827,1007.24,1
428.096,598481,0.776426,1.02503,1.04553,1126.85,0
790.482,504824,387.318,387.57,387.724,935.035,1
604.124,533275,625.239,625.729,625.853,1011.16,1
533.207,360644,0.66221,0.85636,0.914912,680.909,0
776.792,523681,219.743,220.042,220.087,968.953,1
816.817,524237,643.659,644.054,644.128,974.214,1
820.614,523941,259.703,259.988,260.059,969.755,1
518.257,519715,0.642219,0.884608,0.932311,979.165,0
811.681,537090,496.351,496.698,496.744,994.148,1
774.622,548039,356.473,356.804,356.855,1016.43,1
830.404,530218,520.737,521.18,521.209,982.408,1
832.957,524984,312.325,312.575,312.698,971.445,1
423.234,392321,0.663345,0.95889,0.981899,740.302,0
484.752,360376,0.64539,0.741664,0.750662,680.406,0
863.022,526650,136.854,137.112,137.144,972.545,1
863.022,526650,136.854,137.112,137.144,972.545,1
743.345,544223,625.239,625.729,625.853,1011.16,1
441.138,554224,0.740077,1.13212,1.2236,1043.87,0
930.772,603763,0.764402,1.19979,1.29963,1136.76,0
810.522,536923,652.137,652.538,652.628,995.159,1
817.204,534007,287.286,287.602,287.655,989.706,1
671.35,507821,219.911,220.15,220.211,969.633,1
1153.42,495276,0.661018,0.818773,0.848512,933.342,0
606.604,389539,0.596539,0.702816,0.749286,735.085,0
595.988,455996,0.636667,0.799201,0.827051,859.692,0
483.575,407391,0.625517,0.860879,0.883507,768.558,0
517.654,475198,0.762012,1.05922,1.13596,895.697,0
773.615,545810,335.047,335.331,335.384,1012.33,1
789.682,528906,481.747,482.076,482.248,982.054,1
540.052,430959,0.676917,0.986722,1.05401,812.749,0
586.064,436013,0.769523,1.03616,1.06439,822.224,0
494.34,358722,0.593446,0.914479,0.934888,677.304,0
811.679,537090,496.351,496.698,496.744,994.148,1
776.533,508649,614.206,614.689,614.819,944.735,1
800.659,543340,399.43,399.78,399.827,1007.24,1
757.899,495432,447.982,448.344,448.424,918.404,1
863.022,526650,136.854,137.112,137.144,972.545,1
832.958,524984,312.325,312.575,312.698,971.445,1
532.076,509570,0.666501,0.749411,0.835956,960.144,0
817.588,522208,338.107,338.402,338.471,967.889,1
428.127,598481,0.776426,1.02503,1.04553,1126.85,0
743.624,507641,630.126,630.556,630.642,943.505,1
457.968,569380,0.738814,0.998428,1.04671,1072.29,0
738.796,532382,452.465,452.835,452.894,989.392,1
615.555,732029,0.814196,1.08375,1.18895,1377.25,0
870.379,512820,320.87,321.128,321.159,948.277,1
531.005,421923,0.613007,0.833959,0.881533,795.806,0
459.9,500534,0.733519,1.02415,1.10823,943.202,0
766.877,515035,311.97,312.28,312.297,953.239,1
818.497,520742,343.936,344.273,344.315,965.201,1
515.112,551064,0.660473,0.755272,0.801273,1037.94,0
455.985,628259,0.756426,1.08716,1.18883,1182.69,0
816.818,524237,643.659,644.054,644.128,974.214,1
801.998,539134,516.173,516.633,516.742,998.115,1
841.87,535989,302.852,303.127,303.18,990.133,1
810.435,509562,326.229,326.501,326.604,943.456,1
733.469,535282,343.731,344.109,344.159,991.295,1
908.682,525642,219.911,220.15,220.211,969.633,1
484.75,360376,0.64539,0.741664,0.750662,680.406,0
652.388,507016,520.737,521.18,521.209,982.408,1
518.198,584460,0.712593,0.79259,0.897001,1100.56,0
798.72,522386,439.64,440.002,440.084,968.594,1
769.657,520744,390.773,391.064,391.143,964.881,1
554.464,412685,0.592206,0.68474,0.740479,851.205,0
499.345,430958,0.637869,0.84837,0.943721,812.747,0
778.913,517337,576.521,576.989,577.029,959.627,1
574.251,579203,0.70978,0.931393,1.04133,1090.71,0
517.59,475198,0.762012,1.05922,1.13596,895.697,0
781.226,523676,416.324,416.718,416.749,971.288,1
928.047,622630,0.789483,1.03517,1.15893,1172.13,0
574.581,514425,343.731,344.109,344.159,991.295,1
596.039,455996,0.636667,0.799201,0.827051,859.692,0
567.321,468419,0.689497,0.991239,1.07558,882.987,0
817.588,522208,338.107,338.402,338.471,967.889,1
640.08,600173,0.751953,0.873435,0.972134,1130.02,0
516.997,590575,0.712741,0.805857,0.877225,1112.03,0
773.709,517321,246.783,247.037,247.12,958.496,1
518.939,658403,0.809653,1.14364,1.25813,1239.21,0
864.448,529832,240.687,240.975,241.022,981.101,1
830.521,505990,313,313.243,313.301,937.788,1
738.797,532382,452.465,452.835,452.894,989.392,1
1153.58,495276,0.661018,0.818773,0.848512,933.342,0
771.126,533283,500.3,500.679,500.764,989.21,1
459.778,411055,0.640847,0.808355,0.834609,775.429,0
813.853,484890,522.929,523.24,523.312,897.906,1
495.466,464850,0.663638,0.829317,0.902464,876.294,0
495.518,464850,0.663638,0.829317,0.902464,876.294,0
559.681,522543,0.602118,0.737494,0.79176,984.468,0
819.567,539061,259.097,259.361,259.451,997.652,1
609.588,441681,0.660366,1.03343,1.104,832.852,0
518.948,658403,0.809653,1.14364,1.25813,1239.21,0
540.021,430959,0.676917,0.986722,1.05401,812.749,0
930.772,603763,0.764402,1.19979,1.29963,1136.76,0
810.524,536923,652.137,652.538,652.628,995.159,1
742.018,507091,0.659584,0.728282,0.774308,955.497,0
483.472,407391,0.625517,0.860879,0.883507,768.558,0
738.796,532382,452.465,452.835,452.894,989.392,1
603.027,497370,630.126,630.556,630.642,943.505,1
789.682,528906,481.747,482.076,482.248,982.054,1
799.239,544197,433.198,433.599,433.627,1008.83,1
590.739,509506,0.686305,0.829621,0.867383,960.024,0
810.837,552665,214.815,215.014,215.06,1022.91,1
441.189,554224,0.740077,1.13212,1.2236,1043.87,0
848.38,537236,253.414,253.693,253.735,993.679,1
794.56,529206,458.82,459.22,459.269,979.916,1
810.434,509562,326.229,326.501,326.604,943.456,1
844.879,550237,247.294,247.579,247.631,1017.66,1
841.869,535989,302.852,303.127,303.18,990.133,1
515.107,551064,0.660473,0.755272,0.801273,1037.94,0
927.945,622630,0.789483,1.03517,1.15893,1172.13,0
796.746,495645,506.143,506.546,506.575,919.284,1
834.32,506636,366.328,366.697,366.77,938.876,1
583.02,657387,0.724818,0.967011,1.0161,1237.3,0
583.016,657387,0.724818,0.967011,1.0161,1237.3,0
639.869,519034,492.51,492.899,492.977,1001.38,1
790.48,504824,387.318,387.57,387.724,935.035,1
763.321,524621,611.904,612.378,612.423,973.376,1
820.373,509639,366.84,367.196,367.214,944.674,1
516.645,760126,0.686959,1.12129,1.20197,1429.94,0
794.363,544165,434.656,435.07,435.111,1008.87,1
799.729,526357,460.552,461.019,461.047,975.891,1
805.69,511268,476.688,477.085,477.105,946.659,1
615.546,732029,0.814196,1.08375,1.18895,1377.25,0
749.958,423412,0.592206,0.68474,0.740479,851.205,0
517.692,475198,0.762012,1.05922,1.13596,895.697,0
580.678,591857,0.707423,0.921784,0.949004,1114.43,0
624.082,567459,0.686319,0.95523,1.04635,1068.69,0
590.863,509506,0.686305,0.829621,0.867383,960.024,0
799.729,526357,460.552,461.019,461.047,975.891,1
531.02,421923,0.613007,0.833959,0.881533,795.806,0
283.03,477269,0.69017,0.784473,0.861041,899.581,0
820.373,509639,366.84,367.196,367.214,944.674,1
775.612,529463,525.23,525.558,525.633,982.095,1
799.726,515477,514.48,514.868,514.962,957.06,1
778.913,517337,576.521,576.989,577.029,959.627,1
851.697,520341,461.6,461.978,462.02,962.396,1
1579.06,673913,0.568162,0.986496,1.03271,1268.29,0
582.899,657387,0.724818,0.967011,1.0161,1237.3,0
459.867,500534,0.733519,1.02415,1.10823,943.202,0
819.566,539061,259.097,259.361,259.451,997.652,1
864.449,529832,240.687,240.975,241.022,981.101,1
461.309,389327,0.68801,1.0007,1.03476,734.689,0
796.746,495645,506.143,506.546,506.575,919.284,1
1267.74,585971,0.804439,1.2282,1.27143,1103.4,0
820.615,523941,259.703,259.988,260.059,969.755,1
761.997,496638,396.405,396.735,396.869,921.732,1
559.762,522543,0.602118,0.737494,0.79176,984.468,0
461.299,389327,0.68801,1.0007,1.03476,734.689,0
452.054,651425,0.694293,0.844065,0.962721,1226.12,0
826.597,537001,412.129,412.535,412.571,994.961,1
693.843,366198,0.668537,0.895589,0.927563,691.321,0
785.786,528476,526.066,526.46,526.669,981.3,1
459.828,500534,0.733519,1.02415,1.10823,943.202,0
817.863,546245,162.044,162.289,162.321,1008.24,1
773.71,517321,246.783,247.037,247.12,958.496,1
372.159,537918,0.708862,0.978361,1.0427,1013.3,0
471.958,584773,0.816755,1.12341,1.17176,1101.15,0
805.691,511268,476.688,477.085,477.105,946.659,1
516.646,760126,0.686959,1.12129,1.20197,1429.94,0
802.486,527410,339.741,340.03,340.054,979.093,1
642.625,515817,287.286,287.602,287.655,989.706,1
629.651,475496,522.929,523.24,523.312,897.906,1
810.795,532351,353.606,353.952,353.957,988.015,1
773.616,545810,335.047,335.331,335.384,1012.33,1
459.876,500534,0.733519,1.02415,1.10823,943.202,0
776.792,523681,219.743,220.042,220.087,968.953,1
817.588,522208,338.107,338.402,338.471,967.889,1
991.682,628726,0.68318,0.869062,0.878572,1183.56,0
811.68,537090,496.351,496.698,496.744,994.148,1
774.624,548039,356.473,356.804,356.855,1016.43,1
796.746,495645,506.143,506.546,506.575,919.284,1
867.767,521525,139.946,140.149,140.213,963.011,1
459.833,500534,0.733519,1.02415,1.10823,943.202,0
582.668,580323,0.669102,0.874683,0.951539,1092.81,0
799.238,544197,433.198,433.599,433.627,1008.83,1
763.664,516865,323.472,323.81,323.826,956.665,1
580.697,591857,0.707423,0.921784,0.949004,1114.43,0
590.848,509506,0.686305,0.829621,0.867383,960.024,0
452.061,651425,0.694293,0.844065,0.962721,1226.12,0
415.782,467254,0.650265,0.994336,1.07234,880.802,0
457.91,569380,0.738814,0.998428,1.04671,1072.29,0
799.725,515477,514.48,514.868,514.962,957.06,1
819.9,558228,0.648697,0.834026,0.85644,1051.38,0
775.986,508079,411.683,411.967,412.116,941.402,1
870.379,512820,320.87,321.128,321.159,948.277,1
451.11,644458,0.807893,1.24709,1.3386,1213.06,0
616.01,521217,500.3,500.679,500.764,989.21,1
640.004,600173,0.751953,0.873435,0.972134,1130.02,0
572.404,646172,0.767907,1.0625,1.16703,1216.27,0
415.766,467254,0.650265,0.994336,1.07234,880.802,0
796.746,495645,506.143,506.546,506.575,919.284,1
775.633,714262,0.799863,1.27706,1.39159,1343.94,0
586.231,575478,0.697807,0.78886,0.887863,1083.72,0
789.682,528906,481.747,482.076,482.248,982.054,1
766.877,515035,311.97,312.28,312.297,953.239,1
441.192,554224,0.740077,1.13212,1.2236,1043.87,0
618.429,508927,478.84,479.234,479.289,969.937,1
559.744,522543,0.602118,0.737494,0.79176,984.468,0
775.612,529463,525.23,525.558,525.633,982.095,1
454.571,471388,0.738834,0.949851,0.982396,888.553,0
441.19,554224,0.740077,1.13212,1.2236,1043.87,0
452.992,565624,0.608292,0.908287,1.00163,1065.25,0
773.709,517321,246.783,247.037,247.12,958.496,1
590.862,449659,0.730172,1.02362,1.07408,847.811,0
533.26,360644,0.66221,0.85636,0.914912,680.909,0
527.678,635086,0.789948,1.14678,1.25555,1195.49,0
802.487,527410,339.741,340.03,340.054,979.093,1
817.202,534007,287.286,287.602,287.655,989.706,1
832.958,524984,312.325,312.575,312.698,971.445,1
746.151,414006,0.6465,0.711692,0.730506,780.962,0
771.126,533283,500.3,500.679,500.764,989.21,1
586.666,395836,0.691152,0.85408,0.904384,746.894,0
370.069,610082,0.652792,0.991517,1.00107,1148.6,0
811.679,537090,496.351,496.698,496.744,994.148,1
810.524,536923,652.137,652.538,652.628,995.159,1
517.662,475198,0.762012,1.05922,1.13596,895.697,0
817.588,522208,338.107,338.402,338.471,967.889,1
517.102,590575,0.712741,0.805857,0.877225,1112.03,0
567.346,468419,0.689497,0.991239,1.07558,882.987,0
848.38,537236,253.414,253.693,253.735,993.679,1
515.183,551064,0.660473,0.755272,0.801273,1037.94,0
412.734,414190,0.722448,1.00162,1.06269,781.306,0
660.444,724237,0.765763,0.862735,0.988143,1362.64,0
540.018,430959,0.676917,0.986722,1.05401,812.749,0
908.682,525642,219.911,220.15,220.211,969.633,1
454.525,471388,0.738834,0.949851,0.982396,888.553,0
811.679,537090,496.351,496.698,496.744,994.148,1
372.122,537918,0.708862,0.978361,1.0427,1013.3,0
826.598,537001,412.129,412.535,412.571,994.961,1
781.983,537113,212.294,212.551,212.617,993.499,1
585.924,605493,0.749669,1.03024,1.17849,1140,0
891.479,501392,353.119,353.426,353.464,926.811,1
798.721,522386,439.64,440.002,440.084,968.594,1
449.201,668752,0.737186,0.829942,0.843226,1258.61,0
891.48,501392,353.119,353.426,353.464,926.811,1
797.901,508032,212.778,212.996,213.074,938.41,1
459.787,411055,0.640847,0.808355,0.834609,775.429,0
851.698,520341,461.6,461.978,462.02,962.396,1
