Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node
-1.4682263526971893,-0.015720586958002145,-1.63397785199684,-1.316551947770044,0.031840843620823886,0.0,2.201001220648063,0.798010780492808,0.5866750273536452,2.7990037270160175,0.0,-0.4945054053646384,0.23415119872926868,2.2010012206480627,-0.49732744597337375,-0.49487995089965037,2.2010012206480627,2.2010012206480627,-0.4973274459733739,-0.8327859905782675,1.094513525946944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25000000000000017,0.0,0.0,-0.24164375832973212,0.0,0.0,0.0,0.0,0.0,-0.2399991856646436,-0.24005410736373833,-0.24005415589116352,-0.2400541576905484,-0.2369979623207705,-0.24895533275886533,-0.24727590852212697,-0.24703800204299994,-0.24904209177632972,-0.23999135306472819,-0.24005416192936718,-0.24002634644532905,-0.24005416192936713,-0.23695663161854802,-0.2449969344072394
-1.2602276193984208,-0.015689575787409968,-1.4100412648452085,-1.316551947770044,0.031840843620823886,0.0,1.2901681936028568,0.42003192388837396,1.8262261858335262,1.6678112698554035,0.0,-0.21107344679421172,0.21431578723635675,1.2901681936028566,-0.21361715800198608,-0.21142445341669697,1.2901681936028566,1.2901681936028564,-0.21361715800198625,-1.0207157603925077,1.701927992527942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25000000000000017,0.0,0.0,-0.24164375832973212,0.0,0.0,0.0,0.0,0.0,-0.2399991856646436,-0.24005410736373833,-0.24005415589116352,-0.2400541576905484,-0.2369979623207705,-0.24895533275886533,-0.24727590852212697,-0.24703800204299994,-0.24904209177632972,-0.23999135306472819,-0.24005416192936718,-0.24002634644532905,-0.24005416192936713,-0.23695663161854802,-0.2449969344072394
-1.0522288860996523,-0.01588597986782807,-1.2294427991981927,-1.316551947770044,0.031840843620823886,0.0,0.3793351665576506,3.8879325055855976,0.6578450011247318,1.2177669589420406,0.0,0.07235851177621497,0.1944803757434448,0.3793351665576505,0.07009312996940163,0.07203104406625643,0.37933516655765054,0.3793351665576505,0.07009312996940142,-0.5160828954476117,0.07088623271135298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25000000000000017,0.0,0.0,-0.24164375832973212,0.0,0.0,0.0,0.0,0.0,-0.2399991856646436,-0.24005410736373833,-0.24005415589116352,-0.2400541576905484,-0.2369979623207705,-0.24895533275886533,-0.24727590852212697,-0.24703800204299994,-0.24904209177632972,-0.23999135306472819,-0.24005416192936718,-0.24002634644532905,-0.24005416192936713,-0.23695663161854802,-0.2449969344072394
-0.8442301528008838,-0.015363958496190634,-0.40302458774749356,-1.316551947770044,0.031840843620823886,0.0,1.2901681936028568,0.2650532023274282,0.6249208952989325,0.9015196053272452,0.0,-0.21107344679421172,0.21431578723635675,1.2901681936028566,-0.21361715800198608,-0.21142445341669697,1.2901681936028566,1.2901681936028564,-0.21361715800198625,-0.6802315056453649,0.6014367708290521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25000000000000017,0.0,0.0,-0.24164375832973212,0.0,0.0,0.0,0.0,0.0,-0.2399991856646436,-0.24005410736373833,-0.24005415589116352,-0.2400541576905484,-0.2369979623207705,-0.24895533275886533,-0.24727590852212697,-0.24703800204299994,-0.24904209177632972,-0.23999135306472819,-0.24005416192936718,-0.24002634644532905,-0.24005416192936713,-0.23695663161854802,-0.2449969344072394
-0.6362314195021153,-0.01570508137270635,-1.2979581743804742,-1.316551947770044,0.031840843620823886,0.0,0.3793351665576506,3.7728767732681754,0.5226694930250736,0.08657450178142596,0.0,0.07235851177621497,0.1944803757434448,0.3793351665576505,0.07009312996940163,0.07203104406625643,0.37933516655765054,0.3793351665576505,0.07009312996940142,-0.49692662158367656,0.008970561329202596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25000000000000017,0.0,0.0,-0.24164375832973212,0.0,0.0,0.0,0.0,0.0,-0.2399991856646436,-0.24005410736373833,-0.24005415589116352,-0.2400541576905484,-0.2369979623207705,-0.24895533275886533,-0.24727590852212697,-0.24703800204299994,-0.24904209177632972,-0.23999135306472819,-0.24005416192936718,-0.24002634644532905,-0.24005416192936713,-0.23695663161854802,-0.2449969344072394
-0.4282326862033468,-0.01530710468343821,0.2644137081773732,-1.316551947770044,0.031840843620823886,0.0,-0.5314978604875555,-0.5353974531815509,-0.5660021461395026,-0.059385815271556605,0.0,0.35579047034664163,0.17464496425053286,-0.5314978604875555,0.35380341794078934,0.35548654154920983,-0.5314978604875555,-0.5314978604875555,0.3538034179407891,-0.34260266598256917,-0.48982536262032655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25000000000000017,0.0,0.0,-0.24164375832973212,0.0,0.0,0.0,0.0,0.0,-0.2399991856646436,-0.24005410736373833,-0.24005415589116352,-0.2400541576905484,-0.2369979623207705,-0.24895533275886533,-0.24727590852212697,-0.24703800204299994,-0.24904209177632972,-0.23999135306472819,-0.24005416192936718,-0.24002634644532905,-0.24005416192936713,-0.23695663161854802,-0.2449969344072394
-0.22023395290457834,-0.015467329064831618,-0.4171675644622864,-1.316551947770044,0.031840843620823886,0.0,-0.5314978604875555,-0.5353974531815509,-0.5660021461395026,-0.3634698091319368,0.0,0.35579047034664163,0.17464496425053286,-0.5314978604875555,0.35380341794078934,0.35548654154920983,-0.5314978604875555,-0.5314978604875555,0.3538034179407891,-0.34260266598256917,-0.48982536262032655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25000000000000017,0.0,0.0,-0.24164375832973212,0.0,0.0,0.0,0.0,0.0,-0.2399991856646436,-0.24005410736373833,-0.24005415589116352,-0.2400541576905484,-0.2369979623207705,-0.24895533275886533,-0.24727590852212697,-0.24703800204299994,-0.24904209177632972,-0.23999135306472819,-0.24005416192936718,-0.24002634644532905,-0.24005416192936713,-0.23695663161854802,-0.2449969344072394
-0.012235219605809866,-0.015498340235424382,-0.4239497646596079,-1.316551947770044,0.031840843620823886,0.0,-0.5314978604875555,-0.5353974531815509,-0.5660021461395026,-0.5215934859393346,0.0,0.35579047034664163,0.17464496425053286,-0.5314978604875555,0.35380341794078934,0.35548654154920983,-0.5314978604875555,-0.5314978604875555,0.3538034179407891,-0.34260266598256917,-0.48982536262032655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25000000000000017,0.0,0.0,-0.24164375832973212,0.0,0.0,0.0,0.0,0.0,-0.2399991856646436,-0.24005410736373833,-0.24005415589116352,-0.2400541576905484,-0.2369979623207705,-0.24895533275886533,-0.24727590852212697,-0.24703800204299994,-0.24904209177632972,-0.23999135306472819,-0.24005416192936718,-0.24002634644532905,-0.24005416192936713,-0.23695663161854802,-0.2449969344072394
0.1957635136929586,-0.015348452910894839,0.555185044057515,-1.316551947770044,0.031840843620823886,0.0,-0.5314978604875555,-0.5353974531815509,-0.5660021461395026,-0.5702469249569955,0.0,0.35579047034664163,0.17464496425053286,-0.5314978604875555,0.35380341794078934,0.35548654154920983,-0.5314978604875555,-0.5314978604875555,0.3538034179407891,-0.34260266598256917,-0.48982536262032655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25000000000000017,0.0,0.0,-0.24164375832973212,0.0,0.0,0.0,0.0,0.0,-0.2399991856646436,-0.24005410736373833,-0.24005415589116352,-0.2400541576905484,-0.2369979623207705,-0.24895533275886533,-0.24727590852212697,-0.24703800204299994,-0.24904209177632972,-0.23999135306472819,-0.24005416192936718,-0.24002634644532905,-0.24005416192936713,-0.23695663161854802,-0.2449969344072394
0.4037622469917271,-0.015394969666782811,0.36944826966249517,-1.316551947770044,0.031840843620823886,0.0,0.3793351665576506,-0.3196572089096417,0.10533058200609857,-0.5702469249569955,0.0,0.07235851177621497,0.1944803757434448,0.3793351665576505,0.07009312996940163,0.07203104406625643,0.37933516655765054,0.3793351665576505,0.07009312996940142,-0.4377838183795497,-0.18218698808858805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25000000000000017,0.0,0.0,-0.24164375832973212,0.0,0.0,0.0,0.0,0.0,-0.2399991856646436,-0.24005410736373833,-0.24005415589116352,-0.2400541576905484,-0.2369979623207705,-0.24895533275886533,-0.24727590852212697,-0.24703800204299994,-0.24904209177632972,-0.23999135306472819,-0.24005416192936718,-0.24002634644532905,-0.24005416192936713,-0.23695663161854802,-0.2449969344072394
0.6117609802904955,-0.015332947325598456,0.1854104892234731,-1.316551947770044,0.031840843620823886,0.0,-0.5314978604875555,-0.5353974531815509,-0.5660021461395026,-0.5702469249569955,0.0,0.35579047034664163,0.17464496425053286,-0.5314978604875555,0.35380341794078934,0.35548654154920983,-0.5314978604875555,-0.5314978604875555,0.3538034179407891,-0.34260266598256917,-0.48982536262032655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25000000000000017,0.0,0.0,-0.24164375832973212,0.0,0.0,0.0,0.0,0.0,-0.2399991856646436,-0.24005410736373833,-0.24005415589116352,-0.2400541576905484,-0.2369979623207705,-0.24895533275886533,-0.24727590852212697,-0.24703800204299994,-0.24904209177632972,-0.23999135306472819,-0.24005416192936718,-0.24002634644532905,-0.24005416192936713,-0.23695663161854802,-0.2449969344072394
