,Feature1,Label
0,-184.86540375000104,0
1,128.30759625,1
2,-103.7864037500001,0
3,-213.2674037500001,0
4,-229.91040375000009,0
5,-210.41640375000011,0
6,-168.37940375000008,0
7,-65.80840375000004,0
8,-231.88540375000014,0
9,-109.11040375000005,0
10,100.03259624999988,1
11,-341.5314037500001,0
12,107.07159624999998,1
13,-231.8424037500001,0
14,238.19459624999993,0
15,-168.2924037500001,0
16,127.40259624999989,1
17,-93.79740375000007,0
18,128.30859624999994,1
19,-162.01540375000016,0
20,53.82359624999993,1
21,-162.02240375000014,0
22,107.07159624999998,1
23,53.82259624999995,1
24,129.76559624999996,1
25,-103.82240375000005,0
26,117.19759624999996,1
27,68.09659624999995,1
28,301.91359624999996,0
29,100.03259624999988,1
30,-195.4244037500001,0
31,130.8145962499999,1
32,180.57759624999997,1
33,86.99159624999994,1
34,-80.20140375000008,0
35,32.84759624999993,0
36,-107.11740375000012,0
37,83.90759624999988,1
38,120.63359624999987,1
39,100.67859624999996,1
40,127.40259624999989,1
41,-146.8454037500001,0
42,-95.09840375000013,1
43,-257.56840375000013,0
44,-248.4424037500001,0
45,140.7195962499999,1
46,-260.7714037500001,0
47,-91.45240375000004,1
48,52.23959624999998,0
49,128.69559624999988,1
50,99.88059624999995,1
51,53.54359624999996,1
52,143.46359624999994,1
53,91.42459624999994,1
54,174.50559624999994,1
55,109.5075962499999,1
56,158.57859624999995,1
57,-74.20340375000012,0
58,127.01559624999994,1
59,-240.60140375000015,0
60,-149.75540375000003,0
61,68.09759624999994,1
62,-80.17840375000003,0
63,73.5215962499999,1
64,-174.69540375000008,0
65,-279.0124037500001,0
66,-74.30240375000007,0
67,121.87859624999989,1
68,158.57859624999995,1
69,120.63359624999987,1
70,-194.2824037500001,0
71,109.5075962499999,1
72,-236.82340375000007,0
73,-319.7044037500001,0
74,-190.4324037500001,0
75,144.5175962499999,1
76,86.18559624999989,1
77,81.3245962499999,1
78,-261.63940375000016,0
79,-103.57040375000008,0
80,-64.19040375000009,0
81,-135.36640375000016,0
82,152.06759624999998,1
83,-49.81740375000005,0
84,56.28359624999997,0
85,-25.06340375000002,0
86,73.52059624999994,1
87,4.012596249999889,0
88,-210.50940375000013,0
89,-117.38040375000004,0
90,124.05159624999989,1
91,-98.94240375000005,0
92,-149.7614037500001,0
93,-205.0004037500001,0
94,-237.71540375000006,0
95,-117.44340375000013,0
96,121.03559624999991,1
97,116.67759624999998,1
98,426.18859625,0
99,86.18559624999989,1
100,-319.6894037500001,0
101,109.92659624999989,1
