Miner Avg Block Size,Hash Rate,Iteration,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic/node,Mean Block Size_x,Miner Avg Block Gen Interval,Label
0.0,0.196,88,0.661018,0.818773,0.848512,0.721232,933.342,495276,0.0,0
562724.0,0.016,6,366.84,367.196,367.214,344.106,944.674,509639,41183.9,1
641708.0,0.005,5,447.982,448.344,448.424,420.18,918.404,495432,240997.0,1
0.0,0.016,80,0.676665,1.0054,1.10315,0.795797,1011.27,536837,0.0,0
545357.0,0.012,89,512.413,512.803,512.838,480.592,987.871,532938,48095.4,1
0.0,0.002,2,0.631353,0.708518,0.761349,0.665484,811.887,430499,0.0,0
0.0,0.012,19,0.628019,0.811891,0.859728,0.715855,966.596,513011,0.0,0
0.0,0.009,20,0.592206,0.68474,0.740479,0.633862,851.205,412685,0.0,0
556763.0,0.066,29,273.36,273.632,273.662,256.429,988.902,532599,7982.84,1
0.0,0.002,9,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0.0,0
663694.0,0.016,68,335.047,335.331,335.384,314.265,1012.33,545810,25205.7,1
513379.0,0.012,10,439.64,440.002,440.084,412.374,968.594,522386,49132.3,1
512074.0,0.005,78,139.946,140.149,140.213,131.335,963.011,521525,142309.0,1
0.0,0.009,30,0.692586,0.994509,1.03875,0.787354,863.18,457856,0.0,0
0.0,0.002,51,0.756426,1.08716,1.18883,0.856325,1182.69,628259,0.0,0
473400.0,0.005,73,599.358,599.832,599.962,562.16,946.802,509492,107139.0,1
0.0,0.054,47,0.765354,0.982364,1.01682,0.791119,862.276,457373,0.0,0
0.0,0.009,33,0.702939,0.995297,1.1098,0.812939,1140.95,606000,0.0,0
582852.0,0.054,66,326.229,326.501,326.604,305.989,943.456,509562,12205.6,1
0.0,0.159,20,0.592206,0.68474,0.740479,0.633862,851.205,412685,0.0,0
934805.0,0.002,97,195.433,195.635,195.658,183.335,970.88,524277,382872.0,1
540696.0,0.005,82,630.126,630.556,630.642,590.985,943.505,507641,96809.6,1
498527.0,0.066,26,219.911,220.15,220.211,206.311,969.633,525642,9563.88,1
426484.0,0.012,47,516.173,516.633,516.742,484.145,998.115,539134,49583.9,1
417219.0,0.012,40,240.687,240.975,241.022,225.792,981.101,529832,46854.8,1
858773.0,0.159,59,0.647971,1.17288,1.20052,0.893706,1453.71,772806,2988.43,0
363878.0,0.012,38,478.84,479.234,479.289,449.112,969.937,522982,61106.8,1
928517.0,0.002,48,348.843,349.115,349.154,327.194,960.232,518561,518170.0,1
61881.0,0.289,34,0.625517,0.860879,0.883507,0.742144,768.558,407391,5525.11,0
0.0,0.012,64,0.749669,1.03024,1.17849,0.835917,1140.0,605493,0.0,0
662563.0,0.012,29,0.767907,1.0625,1.16703,0.845678,1216.27,646172,5002.22,0
525173.0,0.066,33,246.783,247.037,247.12,231.504,958.496,517321,9135.76,1
0.0,0.005,43,0.650265,0.994336,1.07234,0.78698,880.802,467254,0.0,0
0.0,0.005,42,0.636667,0.799201,0.827051,0.711326,859.692,455996,0.0,0
0.0,0.005,50,0.663638,0.829317,0.902464,0.721454,876.294,464850,0.0,0
0.0,0.002,67,0.809653,1.14364,1.25813,0.886131,1239.21,658403,0.0,0
752162.0,0.054,63,0.765763,0.862735,0.988143,0.812636,1362.64,724237,2311.2,0
508221.0,0.185,23,294.5,294.804,294.821,276.272,982.101,530842,3304.63,1
739154.0,0.012,40,240.687,240.975,241.022,225.792,981.101,529832,58239.9,1
557648.0,0.054,64,0.749669,1.03024,1.17849,0.835917,1140.0,605493,2530.11,0
0.0,0.002,92,0.712741,0.805857,0.877225,0.759304,1112.03,590575,0.0,0
576254.0,0.066,61,439.64,440.002,440.084,412.374,968.594,522386,7563.57,1
0.0,0.009,52,0.737186,0.829942,0.843226,0.764621,1258.61,668752,0.0,0
708122.0,0.012,80,652.137,652.538,652.628,611.597,995.159,536923,43498.4,1
511619.0,0.159,4,460.552,461.019,461.047,431.996,975.891,526357,3894.77,1
0.0,0.133,79,0.686959,1.12129,1.20197,0.881037,1429.94,760126,0.0,0
731078.0,0.012,48,348.843,349.115,349.154,327.194,960.232,518561,42683.3,1
452591.0,0.3,12,643.659,644.054,644.128,603.652,974.214,512711,2197.81,1
538675.0,0.133,49,313.0,313.243,313.301,293.58,937.788,505990,4720.64,1
552041.0,0.016,62,212.294,212.551,212.617,199.183,993.499,537113,39244.2,1
0.0,0.012,28,0.64539,0.741664,0.750662,0.678196,680.406,360376,0.0,0
412055.0,0.012,65,461.6,461.978,462.02,432.939,962.396,520341,31516.5,1
991699.0,0.066,34,0.625517,0.860879,0.883507,0.742144,768.558,407391,5801.13,0
0.0,0.005,88,0.661018,0.818773,0.848512,0.721232,933.342,495276,0.0,0
515368.0,0.133,22,522.929,523.24,523.312,490.42,897.906,484890,5056.81,1
0.0,0.012,18,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0.0,0
0.0,0.002,21,0.664209,0.971515,0.990242,0.791796,1126.21,598137,0.0,0
209399.0,0.009,19,348.617,348.966,349.028,327.01,1017.86,551127,187438.0,1
554257.0,0.133,72,287.286,287.602,287.655,269.489,989.706,534007,4370.19,1
440201.0,0.3,39,310.26,310.521,310.627,291.022,949.606,497519,2235.96,1
525303.0,0.054,29,273.36,273.632,273.662,256.429,988.902,532599,10135.5,1
678675.0,0.016,73,599.358,599.832,599.962,562.16,946.802,509492,36357.9,1
498647.0,0.016,82,630.126,630.556,630.642,590.985,943.505,507641,58866.9,1
513379.0,0.012,61,439.64,440.002,440.084,412.374,968.594,522386,49132.3,1
686503.0,0.012,85,290.074,290.436,290.446,272.115,962.853,520579,77888.4,1
651530.0,0.289,94,0.807893,1.24709,1.3386,0.915717,1213.06,644458,1480.64,0
439751.0,0.3,44,302.852,303.127,303.18,284.081,990.133,513996,2076.36,1
550351.0,0.009,94,259.703,259.988,260.059,243.63,969.755,523941,76256.8,1
494101.0,0.029,70,366.328,366.697,366.77,343.635,938.876,506636,23868.8,1
0.0,0.159,29,0.767907,1.0625,1.16703,0.845678,1216.27,646172,0.0,0
990324.0,0.002,55,460.552,461.019,461.047,431.996,975.891,526357,137208.0,1
496804.0,0.133,75,0.650614,0.787116,0.832724,0.706129,981.397,520905,1778.43,0
413168.0,0.005,53,625.239,625.729,625.853,586.427,1011.16,544223,95569.8,1
436863.0,0.3,75,253.117,253.418,253.498,237.472,994.27,511597,1881.7,1
4403.0,0.002,33,246.783,247.037,247.12,231.504,958.496,517321,334126.0,1
500736.0,0.159,6,366.84,367.196,367.214,344.106,944.674,509639,4107.48,1
0.0,0.012,61,0.726917,1.01247,1.05379,0.793065,874.251,463760,0.0,0
578836.0,0.016,75,253.117,253.418,253.498,237.472,994.27,538681,22984.3,1
