Mean Block Receive Time_x,Mean Block Size_y,Total average traffic/node,Label
490.745,625827,1178.13,0
796.873,532384,989.667,1
527.758,635086,1195.49,0
757.899,494480,918.404,1
743.345,543394,1011.16,1
799.729,525438,975.891,1
637.162,514111,957.06,1
540.058,430959,812.749,0
799.729,525438,975.891,1
283.034,477269,899.581,0
518.286,584460,1100.56,0
452.061,651425,1226.12,0
991.712,628726,1183.56,0
841.87,534217,990.133,1
833.265,529899,984.258,1
775.988,506590,941.402,1
1153.57,495276,933.342,0
790.483,503872,935.035,1
690.373,454083,856.106,0
518.815,658403,1239.21,0
743.624,506861,943.505,1
798.885,517161,960.232,1
778.281,529385,982.101,1
793.468,518725,962.853,1
574.252,579203,1090.71,0
908.682,524168,969.633,1
1116.02,329200,621.95,0
283.079,477269,899.581,0
412.746,414190,781.306,0
428.156,598481,1126.85,0
741.995,507091,955.497,0
725.156,643812,1211.85,0
590.845,509506,960.024,0
518.23,519715,979.165,0
690.21,454083,856.106,0
781.982,534915,993.499,1
590.91,449659,847.811,0
761.996,495943,921.732,1
1578.84,673913,1268.29,0
1267.57,585971,1103.4,0
870.379,512707,948.277,1
811.679,536198,994.148,1
283.052,477269,899.581,0
461.318,389327,734.689,0
810.434,508738,943.456,1
348.305,610693,1149.75,0
781.226,522506,971.288,1
793.468,518725,962.853,1
789.682,527578,982.054,1
830.402,528404,982.408,1
586.064,436013,822.224,0
490.738,625827,1178.13,0
495.444,464850,876.294,0
743.345,543394,1011.16,1
830.403,528404,982.408,1
606.496,389539,735.085,0
790.483,503872,935.035,1
580.682,591857,1114.43,0
532.454,536837,1011.27,0
817.863,545006,1008.24,1
412.734,414190,781.306,0
454.578,471388,888.553,0
817.204,532586,989.706,1
769.012,536471,994.27,1
798.721,520927,968.594,1
840.681,354691,669.747,0
348.283,610693,1149.75,0
818.497,519520,965.201,1
766.714,527666,982.951,1
773.617,544183,1012.33,1
891.48,500123,926.811,1
848.38,535320,993.679,1
774.624,546791,1016.43,1
479.285,525864,990.696,0
799.728,525438,975.891,1
775.699,714262,1343.94,0
622.334,550899,1022.91,1
864.449,528085,981.101,1
539.939,430959,812.749,0
735.411,482218,908.86,0
572.38,646172,1216.27,0
771.125,532354,989.21,1
810.523,535380,995.159,1
769.658,520566,964.881,1
743.624,506861,943.505,1
423.187,392321,740.302,0
452.12,651425,1226.12,0
769.658,520566,964.881,1
771.126,532354,989.21,1
757.899,494480,918.404,1
441.189,554224,1043.87,0
451.11,644458,1213.06,0
580.61,591857,1114.43,0
774.624,546791,1016.43,1
771.126,532354,989.21,1
1153.58,495276,933.342,0
516.627,760126,1429.94,0
799.31,537893,1001.38,1
793.468,518725,962.853,1
751.396,508703,946.802,1
574.251,579203,1090.71,0
518.93,658403,1239.21,0
781.982,534915,993.499,1
518.312,584460,1100.56,0
790.995,531427,988.902,1
515.097,551064,1037.94,0
840.522,354691,669.747,0
798.721,520927,968.594,1
580.68,591857,1114.43,0
479.34,525864,990.696,0
722.653,662333,1246.57,0
743.345,543394,1011.16,1
615.576,516198,972.571,0
515.109,551064,1037.94,0
851.698,519049,962.396,1
776.792,523058,968.953,1
794.364,542916,1008.87,1
790.481,503872,935.035,1
799.729,525438,975.891,1
567.324,468419,882.987,0
820.614,522660,969.755,1
615.555,732029,1377.25,0
412.71,414190,781.306,0
820.615,522660,969.755,1
469.204,598137,1126.21,0
844.878,548020,1017.66,1
844.88,548020,1017.66,1
830.402,528404,982.408,1
806.48,531795,987.871,1
757.899,494480,918.404,1
459.876,500534,943.202,0
799.31,537893,1001.38,1
835.048,690843,1300.03,0
532.559,536837,1011.27,0
521.504,409274,772.09,0
757.084,538811,1001.14,1
799.309,537893,1001.38,1
793.468,518725,962.853,1
733.469,533647,991.295,1
483.54,407391,768.558,0
785.881,521886,969.937,1
1578.83,673913,1268.29,0
790.479,503872,935.035,1
531.005,421923,795.806,0
490.732,625827,1178.13,0
582.936,430499,811.887,0
515.13,551064,1037.94,0
543.013,457373,862.276,0
830.522,505442,937.788,1
432.182,445143,839.343,0
789.681,527578,982.054,1
743.624,506861,943.505,1
848.38,535320,993.679,1
763.323,523515,973.376,1
581.001,789442,1484.9,0
733.468,533647,991.295,1
624.021,567459,1068.69,0
778.913,516325,959.627,1
636.018,511759,949.606,1
796.874,532384,989.667,1
785.881,521886,969.937,1
766.876,514001,953.239,1
776.534,507843,944.735,1
930.666,603763,1136.76,0
802.487,526586,979.093,1
806.48,531795,987.871,1
733.469,533647,991.295,1
805.69,510810,946.659,1
372.154,537918,1013.3,0
799.727,525438,975.891,1
624.029,567459,1068.69,0
781.983,534915,993.499,1
367.958,385235,727.016,0
582.948,430499,811.887,0
775.612,527758,982.095,1
820.373,508556,944.674,1
794.56,528119,979.916,1
515.181,551064,1037.94,0
585.936,436013,822.224,0
810.523,535380,995.159,1
834.93,690843,1300.03,0
757.899,494480,918.404,1
567.343,468419,882.987,0
927.966,622630,1172.13,0
811.679,536198,994.148,1
