Miner Avg Block Size,Hash Rate,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic/node,Mean Block Size_x,Miner Avg Block Gen Interval,Label
0,0.002,0.66929,0.897063,0.935389,0.757009,990.696,525864,0,0
534489,0.289,0.776426,1.02503,1.04553,0.830488,1126.85,598481,990.32,0
481667,0.196,0.776426,1.02503,1.04553,0.830488,1126.85,598481,1997.67,0
755663,0.159,0.776426,1.02503,1.04553,0.830488,1126.85,598481,2694.68,0
550315,0.133,0.776426,1.02503,1.04553,0.830488,1126.85,598481,111.158,0
0,0.066,0.776426,1.02503,1.04553,0.830488,1126.85,598481,0,0
0,0.054,0.776426,1.02503,1.04553,0.830488,1126.85,598481,0,0
0,0.029,0.776426,1.02503,1.04553,0.830488,1126.85,598481,0,0
0,0.016,0.776426,1.02503,1.04553,0.830488,1126.85,598481,0,0
833352,0.012,0.776426,1.02503,1.04553,0.830488,1126.85,598481,4203.95,0
0,0.012,0.776426,1.02503,1.04553,0.830488,1126.85,598481,0,0
831802,0.012,0.776426,1.02503,1.04553,0.830488,1126.85,598481,3653.76,0
0,0.009,0.776426,1.02503,1.04553,0.830488,1126.85,598481,0,0
0,0.005,0.776426,1.02503,1.04553,0.830488,1126.85,598481,0,0
0,0.005,0.776426,1.02503,1.04553,0.830488,1126.85,598481,0,0
0,0.002,0.776426,1.02503,1.04553,0.830488,1126.85,598481,0,0
0,0.002,0.776426,1.02503,1.04553,0.830488,1126.85,598481,0,0
828833,0.289,0.694293,0.844065,0.962721,0.777906,1226.12,651425,1355.96,0
492366,0.196,0.694293,0.844065,0.962721,0.777906,1226.12,651425,2646,0
261312,0.159,0.694293,0.844065,0.962721,0.777906,1226.12,651425,913.182,0
667327,0.133,0.694293,0.844065,0.962721,0.777906,1226.12,651425,740.762,0
0,0.066,0.694293,0.844065,0.962721,0.777906,1226.12,651425,0,0
586409,0.054,0.694293,0.844065,0.962721,0.777906,1226.12,651425,2383.06,0
0,0.029,0.694293,0.844065,0.962721,0.777906,1226.12,651425,0,0
0,0.016,0.694293,0.844065,0.962721,0.777906,1226.12,651425,0,0
0,0.012,0.694293,0.844065,0.962721,0.777906,1226.12,651425,0,0
0,0.012,0.694293,0.844065,0.962721,0.777906,1226.12,651425,0,0
0,0.012,0.694293,0.844065,0.962721,0.777906,1226.12,651425,0,0
0,0.009,0.694293,0.844065,0.962721,0.777906,1226.12,651425,0,0
0,0.005,0.694293,0.844065,0.962721,0.777906,1226.12,651425,0,0
0,0.005,0.694293,0.844065,0.962721,0.777906,1226.12,651425,0,0
0,0.002,0.694293,0.844065,0.962721,0.777906,1226.12,651425,0,0
0,0.002,0.694293,0.844065,0.962721,0.777906,1226.12,651425,0,0
196300,0.289,0.69017,0.784473,0.861041,0.723212,899.581,477269,1096.98,0
933910,0.196,0.69017,0.784473,0.861041,0.723212,899.581,477269,1504.54,0
377096,0.159,0.69017,0.784473,0.861041,0.723212,899.581,477269,905.042,0
529874,0.133,0.69017,0.784473,0.861041,0.723212,899.581,477269,1603.79,0
503068,0.066,0.69017,0.784473,0.861041,0.723212,899.581,477269,1586,0
388204,0.054,0.69017,0.784473,0.861041,0.723212,899.581,477269,2030.32,0
0,0.029,0.69017,0.784473,0.861041,0.723212,899.581,477269,0,0
0,0.016,0.69017,0.784473,0.861041,0.723212,899.581,477269,0,0
0,0.012,0.69017,0.784473,0.861041,0.723212,899.581,477269,0,0
0,0.012,0.69017,0.784473,0.861041,0.723212,899.581,477269,0,0
0,0.012,0.69017,0.784473,0.861041,0.723212,899.581,477269,0,0
892663,0.009,0.69017,0.784473,0.861041,0.723212,899.581,477269,4498.81,0
998351,0.005,0.69017,0.784473,0.861041,0.723212,899.581,477269,1380.28,0
0,0.005,0.69017,0.784473,0.861041,0.723212,899.581,477269,0,0
0,0.002,0.69017,0.784473,0.861041,0.723212,899.581,477269,0,0
0,0.002,0.69017,0.784473,0.861041,0.723212,899.581,477269,0,0
663706,0.289,0.613007,0.833959,0.881533,0.708761,795.806,421923,371.549,0
403316,0.196,0.613007,0.833959,0.881533,0.708761,795.806,421923,1612.95,0
642008,0.159,0.613007,0.833959,0.881533,0.708761,795.806,421923,2317.74,0
249610,0.133,0.613007,0.833959,0.881533,0.708761,795.806,421923,3664.22,0
0,0.066,0.613007,0.833959,0.881533,0.708761,795.806,421923,0,0
246864,0.054,0.613007,0.833959,0.881533,0.708761,795.806,421923,2102.06,0
0,0.029,0.613007,0.833959,0.881533,0.708761,795.806,421923,0,0
124929,0.016,0.613007,0.833959,0.881533,0.708761,795.806,421923,3077.93,0
0,0.012,0.613007,0.833959,0.881533,0.708761,795.806,421923,0,0
198373,0.012,0.613007,0.833959,0.881533,0.708761,795.806,421923,5840.84,0
0,0.012,0.613007,0.833959,0.881533,0.708761,795.806,421923,0,0
0,0.009,0.613007,0.833959,0.881533,0.708761,795.806,421923,0,0
0,0.005,0.613007,0.833959,0.881533,0.708761,795.806,421923,0,0
0,0.005,0.613007,0.833959,0.881533,0.708761,795.806,421923,0,0
0,0.002,0.613007,0.833959,0.881533,0.708761,795.806,421923,0,0
0,0.002,0.613007,0.833959,0.881533,0.708761,795.806,421923,0,0
639928,0.289,0.764402,1.19979,1.29963,0.901142,1136.76,603763,1395.93,0
0,0.196,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
531433,0.159,0.764402,1.19979,1.29963,0.901142,1136.76,603763,2068.87,0
0,0.133,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
0,0.066,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
0,0.054,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
0,0.029,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
0,0.016,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
0,0.012,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
0,0.012,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
0,0.012,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
0,0.009,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
0,0.005,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
0,0.005,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
0,0.002,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
0,0.002,0.764402,1.19979,1.29963,0.901142,1136.76,603763,0,0
735648,0.289,0.665086,0.877091,0.925295,0.769629,1149.75,610693,1479.93,0
552442,0.196,0.665086,0.877091,0.925295,0.769629,1149.75,610693,2033.83,0
686323,0.159,0.665086,0.877091,0.925295,0.769629,1149.75,610693,331.26,0
330848,0.133,0.665086,0.877091,0.925295,0.769629,1149.75,610693,2108.44,0
347223,0.066,0.665086,0.877091,0.925295,0.769629,1149.75,610693,351.652,0
347627,0.054,0.665086,0.877091,0.925295,0.769629,1149.75,610693,5819.58,0
749690,0.029,0.665086,0.877091,0.925295,0.769629,1149.75,610693,5077.53,0
0,0.016,0.665086,0.877091,0.925295,0.769629,1149.75,610693,0,0
645805,0.012,0.665086,0.877091,0.925295,0.769629,1149.75,610693,2032.6,0
0,0.012,0.665086,0.877091,0.925295,0.769629,1149.75,610693,0,0
0,0.012,0.665086,0.877091,0.925295,0.769629,1149.75,610693,0,0
595017,0.009,0.665086,0.877091,0.925295,0.769629,1149.75,610693,3484.79,0
928274,0.005,0.665086,0.877091,0.925295,0.769629,1149.75,610693,3657.85,0
0,0.005,0.665086,0.877091,0.925295,0.769629,1149.75,610693,0,0
0,0.002,0.665086,0.877091,0.925295,0.769629,1149.75,610693,0,0
0,0.002,0.665086,0.877091,0.925295,0.769629,1149.75,610693,0,0
315070,0.289,0.637869,0.84837,0.943721,0.730843,812.747,430958,1025.63,0
560399,0.196,0.637869,0.84837,0.943721,0.730843,812.747,430958,1980.81,0
0,0.159,0.637869,0.84837,0.943721,0.730843,812.747,430958,0,0
653115,0.133,0.637869,0.84837,0.943721,0.730843,812.747,430958,2238.49,0
0,0.066,0.637869,0.84837,0.943721,0.730843,812.747,430958,0,0
234558,0.054,0.637869,0.84837,0.943721,0.730843,812.747,430958,537.667,0
0,0.029,0.637869,0.84837,0.943721,0.730843,812.747,430958,0,0
609874,0.016,0.637869,0.84837,0.943721,0.730843,812.747,430958,4493.32,0
0,0.012,0.637869,0.84837,0.943721,0.730843,812.747,430958,0,0
0,0.012,0.637869,0.84837,0.943721,0.730843,812.747,430958,0,0
0,0.012,0.637869,0.84837,0.943721,0.730843,812.747,430958,0,0
0,0.009,0.637869,0.84837,0.943721,0.730843,812.747,430958,0,0
0,0.005,0.637869,0.84837,0.943721,0.730843,812.747,430958,0,0
0,0.005,0.637869,0.84837,0.943721,0.730843,812.747,430958,0,0
0,0.002,0.637869,0.84837,0.943721,0.730843,812.747,430958,0,0
0,0.002,0.637869,0.84837,0.943721,0.730843,812.747,430958,0,0
540775,0.289,0.642219,0.884608,0.932311,0.753477,979.165,519715,1424.92,0
0,0.196,0.642219,0.884608,0.932311,0.753477,979.165,519715,0,0
508696,0.159,0.642219,0.884608,0.932311,0.753477,979.165,519715,1365.15,0
896985,0.133,0.642219,0.884608,0.932311,0.753477,979.165,519715,1375.23,0
0,0.066,0.642219,0.884608,0.932311,0.753477,979.165,519715,0,0
0,0.054,0.642219,0.884608,0.932311,0.753477,979.165,519715,0,0
162042,0.029,0.642219,0.884608,0.932311,0.753477,979.165,519715,3920.47,0
0,0.016,0.642219,0.884608,0.932311,0.753477,979.165,519715,0,0
0,0.012,0.642219,0.884608,0.932311,0.753477,979.165,519715,0,0
749420,0.012,0.642219,0.884608,0.932311,0.753477,979.165,519715,3769.43,0
0,0.012,0.642219,0.884608,0.932311,0.753477,979.165,519715,0,0
219225,0.009,0.642219,0.884608,0.932311,0.753477,979.165,519715,3920.81,0
0,0.005,0.642219,0.884608,0.932311,0.753477,979.165,519715,0,0
0,0.005,0.642219,0.884608,0.932311,0.753477,979.165,519715,0,0
0,0.002,0.642219,0.884608,0.932311,0.753477,979.165,519715,0,0
0,0.002,0.642219,0.884608,0.932311,0.753477,979.165,519715,0,0
0,0.289,0.659584,0.728282,0.774308,0.693527,955.497,507091,0,0
433604,0.196,0.659584,0.728282,0.774308,0.693527,955.497,507091,1978.27,0
614294,0.159,0.659584,0.728282,0.774308,0.693527,955.497,507091,3191.81,0
614546,0.133,0.659584,0.728282,0.774308,0.693527,955.497,507091,1697.71,0
0,0.066,0.659584,0.728282,0.774308,0.693527,955.497,507091,0,0
456266,0.054,0.659584,0.728282,0.774308,0.693527,955.497,507091,2407.76,0
0,0.029,0.659584,0.728282,0.774308,0.693527,955.497,507091,0,0
0,0.016,0.659584,0.728282,0.774308,0.693527,955.497,507091,0,0
0,0.012,0.659584,0.728282,0.774308,0.693527,955.497,507091,0,0
0,0.012,0.659584,0.728282,0.774308,0.693527,955.497,507091,0,0
0,0.012,0.659584,0.728282,0.774308,0.693527,955.497,507091,0,0
0,0.009,0.659584,0.728282,0.774308,0.693527,955.497,507091,0,0
0,0.005,0.659584,0.728282,0.774308,0.693527,955.497,507091,0,0
0,0.005,0.659584,0.728282,0.774308,0.693527,955.497,507091,0,0
0,0.002,0.659584,0.728282,0.774308,0.693527,955.497,507091,0,0
0,0.002,0.659584,0.728282,0.774308,0.693527,955.497,507091,0,0
610544,0.289,0.686319,0.95523,1.04635,0.785594,1068.69,567459,1871.54,0
992248,0.196,0.686319,0.95523,1.04635,0.785594,1068.69,567459,166.838,0
0,0.159,0.686319,0.95523,1.04635,0.785594,1068.69,567459,0,0
0,0.133,0.686319,0.95523,1.04635,0.785594,1068.69,567459,0,0
248401,0.066,0.686319,0.95523,1.04635,0.785594,1068.69,567459,2645.62,0
872101,0.054,0.686319,0.95523,1.04635,0.785594,1068.69,567459,46.4074,0
70915,0.029,0.686319,0.95523,1.04635,0.785594,1068.69,567459,1872.62,0
0,0.016,0.686319,0.95523,1.04635,0.785594,1068.69,567459,0,0
0,0.012,0.686319,0.95523,1.04635,0.785594,1068.69,567459,0,0
0,0.012,0.686319,0.95523,1.04635,0.785594,1068.69,567459,0,0
