Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Is Attacker,Time Interval
0,1153.42,0.510776,495276,6,0,2,2883.54,309472,0.289,0,5850,9360,4860,486,525,5250,3900,390,1857704,9286860,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1,1153.49,0.661018,495276,6,0,0,0,0,0.196,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2,1153.49,0.593372,495276,6,0,1,243.402,747620,0.159,0,7800,9230,2430,648,700,2625,1950,520,1729118,11215650,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
3,1153.61,0.605032,495276,6,0,2,1604.85,554907,0.133,0,5850,9360,4860,486,525,5250,3900,390,1366834,16649910,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
4,1153.48,0.610989,495276,6,0,0,0,0,0.066,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
5,1153.62,0.848512,495276,6,0,0,0,0,0.054,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
6,1153.57,0.736731,495276,6,0,0,0,0,0.029,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
7,1153.57,0.68193,495276,6,0,0,0,0,0.016,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
8,1153.65,0.818773,495276,6,0,0,0,0,0.012,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
9,1153.64,0.752199,495276,6,0,0,0,0,0.012,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
10,1153.63,0.724392,495276,6,0,0,0,0,0.012,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
11,1153.58,0.75672,495276,6,0,0,0,0,0.009,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
12,1153.62,0.831686,495276,6,0,0,0,0,0.005,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
13,1153.64,0.734682,495276,6,0,0,0,0,0.005,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
14,1153.61,0.724087,495276,6,0,0,0,0,0.002,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
15,1153.66,0.94882,495276,6,0,0,0,0,0.002,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
